outer_fold,trial,learning_rate,max_iter,max_leaf_nodes,l2_regularization,inner_macro_f1_mean
4,1,0.03,50,7,0.1,0.8975431923898675
4,2,0.03,50,7,1.0,0.8972628878374111
4,3,0.03,50,15,0.0,0.8975431923898675
4,4,0.03,50,15,0.1,0.8975431923898675
4,5,0.03,50,15,1.0,0.8972628878374111
4,6,0.03,50,31,0.0,0.8975431923898675
4,7,0.03,50,31,0.1,0.8975431923898675
4,8,0.03,50,31,1.0,0.8972628878374111
4,9,0.03,100,7,0.0,0.9071772085955879
4,10,0.03,100,7,0.1,0.9071772085955879
4,11,0.03,100,7,1.0,0.9071772085955879
4,12,0.03,100,15,0.0,0.9071772085955879
4,13,0.03,100,15,0.1,0.9071772085955879
4,14,0.03,100,15,1.0,0.9071772085955879
4,15,0.03,100,31,0.0,0.9071772085955879
4,16,0.03,100,31,0.1,0.9071772085955879
4,17,0.03,100,31,1.0,0.9071772085955879
4,18,0.03,200,7,0.0,0.9101865878654843
4,19,0.03,200,7,0.1,0.9101865878654843
4,20,0.03,200,7,1.0,0.9135943239115524
4,21,0.03,200,15,0.0,0.9101865878654843
4,22,0.03,200,15,0.1,0.9101865878654843
4,23,0.03,200,15,1.0,0.9135943239115524
4,24,0.03,200,31,0.0,0.9101865878654843
4,25,0.03,200,31,0.1,0.9101865878654843
4,26,0.03,200,31,1.0,0.9135943239115524
4,27,0.05,50,7,0.0,0.9038419071889833
4,28,0.05,50,7,0.1,0.9038419071889833
4,29,0.05,50,7,1.0,0.9071772085955879
4,30,0.05,50,15,0.0,0.9038419071889833
4,31,0.05,50,15,0.1,0.9038419071889833
4,32,0.05,50,15,1.0,0.9071772085955879
4,33,0.05,50,31,0.0,0.9038419071889833
4,34,0.05,50,31,0.1,0.9038419071889833
4,35,0.05,50,31,1.0,0.9071772085955879
4,36,0.05,100,7,0.0,0.9101865878654843
4,37,0.05,100,7,0.1,0.9101865878654843
4,38,0.05,100,7,1.0,0.9135943239115524
4,39,0.05,100,15,0.0,0.9101865878654843
4,40,0.05,100,15,0.1,0.9101865878654843
4,41,0.05,100,15,1.0,0.9135943239115524
4,42,0.05,100,31,0.0,0.9101865878654843
4,43,0.05,100,31,0.1,0.9101865878654843
4,44,0.05,100,31,1.0,0.9135943239115524
4,45,0.05,200,7,0.0,0.9015584835185209
4,46,0.05,200,7,0.1,0.9101865878654843
4,47,0.05,200,7,1.0,0.9135943239115524
4,48,0.05,200,15,0.0,0.9015584835185209
4,49,0.05,200,15,0.1,0.9101865878654843
4,50,0.05,200,15,1.0,0.9135943239115524
4,51,0.05,200,31,0.0,0.9015584835185209
4,52,0.05,200,31,0.1,0.9101865878654843
4,53,0.05,200,31,1.0,0.9135943239115524
4,54,0.1,50,7,0.0,0.9101865878654843
4,55,0.1,50,7,0.1,0.9101865878654843
4,56,0.1,50,7,1.0,0.9135943239115524
4,57,0.1,50,15,0.0,0.9101865878654843
4,58,0.1,50,15,0.1,0.9101865878654843
4,59,0.1,50,15,1.0,0.9135943239115524
4,60,0.1,50,31,0.0,0.9101865878654843
4,61,0.1,50,31,0.1,0.9101865878654843
4,62,0.1,50,31,1.0,0.9135943239115524
4,63,0.1,100,7,0.0,0.9015584835185209
4,64,0.1,100,7,0.1,0.9101865878654843
4,65,0.1,100,7,1.0,0.9135943239115524
4,66,0.1,100,15,0.0,0.9015584835185209
4,67,0.1,100,15,0.1,0.9101865878654843
4,68,0.1,100,15,1.0,0.9135943239115524
4,69,0.1,100,31,0.0,0.9015584835185209
4,70,0.1,100,31,0.1,0.9101865878654843
4,71,0.1,100,31,1.0,0.9135943239115524
4,72,0.1,200,7,0.0,0.8846008136872879
4,73,0.1,200,7,0.1,0.8880085497333559
4,74,0.1,200,7,1.0,0.9065672520505231
4,75,0.1,200,15,0.0,0.8846008136872879
4,76,0.1,200,15,0.1,0.8880085497333559
4,77,0.1,200,15,1.0,0.9065672520505231
4,78,0.1,200,31,0.0,0.8846008136872879
4,79,0.1,200,31,0.1,0.8880085497333559
4,80,0.1,200,31,1.0,0.9065672520505231
