config_id,risk_weight,evidence_weight,need_weight,certainty_weight,workload_weight,minimum_risk_reduction,maximum_uncertainty,minimum_evidence,minimum_top_margin,minimum_top_score,mean_precision_at_1,mean_actionable_coverage,mean_selective_accuracy,mean_macro_action_precision,worst_stage_precision,minimum_action_diversity,maximum_top_action_concentration,meets_target
e54deba5860df5f6,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.02,0.15,0.22807606335753308,0.6179486398066784,0.39640855683321546,0.22863449872381433,0.09843937575030012,4,0.5071801566579635,False
6458079d2de805c0,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.02,0.25,0.2267045213878812,0.5689316000153939,0.42211235981259504,0.23495516978823158,0.09802538787023977,4,0.5531383737517832,False
a0adab18646b1b82,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.05,0.0,0.2429455428341402,0.5728077758898494,0.441674379196078,0.2322293350208332,0.0981554677206851,4,0.4957952468007313,False
59663191eb203dba,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.05,0.15,0.2374918294046359,0.5542095244592881,0.44194906658392535,0.23017636441689593,0.10082304526748971,4,0.5074850299401198,False
c1d5421822cfd8c9,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.05,0.25,0.23691340026982755,0.5051924846680036,0.46758401831077806,0.23557545158846738,0.1028428093645485,4,0.5608290155440414,False
c412fb6a2e53019d,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.1,0.0,0.2578658968567505,0.5003663031940212,0.49447541080192,0.2347168081193464,0.10556464811783961,4,0.49288373111451717,False
2707949806c706e9,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.1,0.15,0.25070494232508156,0.4820897157218609,0.4927179105563571,0.2316292074086952,0.10819949281487742,4,0.5044822949350067,False
e0815088b0d5776c,0.5,0.2,0.2,0.05,0.1,0.0,0.1,0.6,0.1,0.25,0.25189649112787893,0.4332868001515093,0.5183879339194114,0.2408125461156517,0.11534391534391535,4,0.5694726166328601,False
e33c648eb4bca75e,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.0,0.0,0.23422326014563358,0.722396215717216,0.35756298441254614,0.2402791628878352,0.10343087790111,4,0.4894574079280292,False
5ee0438d29e19717,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.0,0.15,0.22554729895937276,0.688327496216635,0.35621749062845964,0.23662344356750684,0.09713375796178345,4,0.5037615740740741,False
d2484749c3111cd6,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.0,0.25,0.2227116683746654,0.634581717810805,0.38143799507872744,0.24317843264582062,0.09964622641509434,4,0.5462118830556428,False
918c96eeb58663f6,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.02,0.0,0.2411038026449471,0.6713583229664907,0.3966582222945836,0.23668161693001366,0.105,4,0.4902416356877323,False
d5a12ad8f18b7f79,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.02,0.15,0.23174067992090966,0.6372896034659096,0.3953127285104971,0.23285576753856266,0.09811985898942421,4,0.5060761112887752,False
c221e3b493e756a7,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.02,0.25,0.22921802972251104,0.5836504917267461,0.4205332329607648,0.23920855120521364,0.09937456567060458,4,0.5536465638148668,False
