dataset,fold,information_level,model,seed,epochs_run,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
uci,3,S0,RF,42,23,0.5045284902107642,0.7538759689922481,0.46875,0.3260869565217391,0.8333333333333334,0.5193798449612403,0.5878787878787879,0.6763565891472869,0.1509564726146566,0.0940243450642535,0.7701417172245488,0.8392987294631062,0.25,30,62,67,6,165,0.2181818181818181
uci,3,S1,Hybrid,42,23,0.7792550003722961,0.9224806201550388,0.64,0.6153846153846154,0.6666666666666666,0.8837209302325582,0.8363636363636363,0.7751937984496124,0.1199385136590172,0.0984482221418257,0.2795495434657799,0.1404916186389871,0.6,24,15,114,12,165,0.2181818181818181
uci,3,S1,LR,42,23,0.6801785514622317,0.8852282515073213,0.5230769230769231,0.5862068965517241,0.4722222222222222,0.9069767441860463,0.8121212121212121,0.6895994832041343,0.1293185617504304,0.1352831263899464,0.5471703487490837,0.5326372232041984,0.72,17,12,117,19,165,0.2181818181818181
uci,3,S1,RF,42,23,0.7874351423422951,0.9287252368647718,0.6578947368421053,0.625,0.6944444444444444,0.8837209302325582,0.8424242424242424,0.7890826873385013,0.0920642649880294,0.0978830700147558,0.5623278893249964,0.5451506444369536,0.47,25,15,114,11,165,0.2181818181818181
uci,3,S2,Hybrid,42,23,0.87223738204077,0.9534883720930232,0.7466666666666667,0.717948717948718,0.7777777777777778,0.9147286821705426,0.8848484848484849,0.8462532299741602,0.0770785854171056,0.0653350435846457,0.2264626066402376,0.0893424247505451,0.45,28,11,118,8,165,0.2181818181818181
uci,3,S2,LR,42,23,0.7292393034376361,0.900947459086994,0.6585365853658537,0.5869565217391305,0.75,0.8527131782945736,0.8303030303030303,0.8013565891472868,0.1171581056257225,0.1162062795959751,0.5439023383363831,0.5625603394765248,0.53,27,19,110,9,165,0.2181818181818181
uci,3,S2,RF,42,23,0.8735771943928003,0.9409991386735572,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.9457364341085271,0.9151515151515152,0.8756459948320414,0.0761031481713825,0.0815422303988739,0.507256102443013,0.4304120868607669,0.49,29,7,122,7,165,0.2181818181818181
uci,4,S0,Hybrid,42,24,0.5006456210959811,0.7964348591549296,0.4827586206896552,0.3333333333333333,0.875,0.6056338028169014,0.6551724137931034,0.7403169014084507,0.1851744279652678,0.2090193519218899,0.6752686679171471,0.6561105639813907,0.35,28,56,86,4,174,0.1839080459770115
uci,4,S0,LR,42,24,0.4849252758937979,0.8144806338028169,0.5142857142857142,0.4736842105263157,0.5625,0.8591549295774648,0.8045977011494253,0.7108274647887324,0.1669583907586522,0.1925829810936046,0.7208738192512607,0.7599300784014889,0.59,18,20,122,14,174,0.1839080459770115
uci,4,S0,RF,42,24,0.5409848678867668,0.809419014084507,0.5,0.3452380952380952,0.90625,0.6126760563380281,0.6666666666666666,0.759463028169014,0.1264096581430437,0.1058405992821201,0.729443320875754,0.7543456357716058,0.23,29,55,87,3,174,0.1839080459770115
uci,4,S1,Hybrid,42,24,0.8036772581123507,0.9546654929577464,0.7714285714285715,0.7105263157894737,0.84375,0.9225352112676056,0.9080459770114944,0.8831426056338028,0.0796640964252715,0.081497128597921,0.2342392544772519,0.0918110314020142,0.7,27,11,131,5,174,0.1839080459770115
uci,4,S1,LR,42,24,0.7504984294904898,0.9388204225352113,0.7073170731707317,0.58,0.90625,0.852112676056338,0.8620689655172413,0.879181338028169,0.1032681933085719,0.1477285309235737,0.5282352305201278,0.4935115031720757,0.47,29,21,121,3,174,0.1839080459770115
uci,4,S1,RF,42,24,0.7278569120991257,0.9383802816901408,0.7466666666666667,0.6511627906976745,0.875,0.8943661971830986,0.8908045977011494,0.8846830985915493,0.0743087591229835,0.0707134624097453,0.5056739014787833,0.4450154723168972,0.38,28,15,127,4,174,0.1839080459770115
uci,4,S2,Hybrid,42,24,0.9198058374240432,0.9797535211267606,0.7560975609756098,0.62,0.96875,0.8661971830985915,0.8850574712643678,0.9174735915492958,0.049756302007055,0.0579263257563927,0.1639956100249411,0.0576450775171352,0.08,31,19,123,1,174,0.1839080459770115
uci,4,S2,LR,42,24,0.8358775081573764,0.9599471830985916,0.75,0.675,0.84375,0.908450704225352,0.896551724137931,0.876100352112676,0.0912579611239866,0.1375002106437566,0.5204351402108492,0.515766405313038,0.57,27,13,129,5,174,0.1839080459770115
uci,4,S2,RF,42,24,0.9050970771581724,0.9786531690140844,0.8378378378378378,0.7380952380952381,0.96875,0.9225352112676056,0.9310344827586208,0.9456426056338028,0.0548923991372659,0.0871697758757991,0.4654511731112338,0.3810086379450415,0.45,31,11,131,1,174,0.1839080459770115
oulad,0,20pct,Hybrid,42,15,0.7647671982604973,0.7970011953168499,0.6839637386683338,0.6500297088532383,0.7216358839050132,0.7102803738317757,0.7151310228233305,0.7159581288683945,0.21099226683744088,0.16244128224313698,0.5207702613947259,0.4954333681799301,0.16,1094,589,1444,422,3549,0.42716258100873483
oulad,0,20pct,LR,42,15,0.7575218295112346,0.7877475480430418,0.6841772151898734,0.6575425790754258,0.7130606860158312,0.7230693556320709,0.7187940264863342,0.718065020823951,0.18519115961444657,0.053634030619128664,0.8008168635265207,0.886100454992202,0.46,1081,563,1470,435,3549,0.42716258100873483
