dataset,scenario,candidate_id,variant,model_family,is_ensemble,ensemble_seeds,cnn_kernel_size,cnn_channels,lstm_hidden_dim,loss_name,use_class_weight,imbalance_strategy,dropout,context_hidden_dim,base_candidate_id,threshold_grid,calibrate_temperature,prediction_mode,threshold_low,temperature,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,oof_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_recall_low,oof_f1_low,oof_rmse,oof_r2,oof_mean_confidence,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,recall_low_mean,recall_low_std,f1_low_mean,f1_low_std,rmse_mean,rmse_std,r2_mean,r2_std,selected_for_locked
xapi,xapi,xapi_seq_k2_c16_h32,xapi_sequence_only_v30,sequence,False,,2,16,32,ce,True,none,0.15,64,,standard,False,low_f1_tuned,0.37499999999999994,1.0,0.7779492705001784,0.6510416666666666,0.6617563527956083,0.698829895446723,0.6566940809643637,0.8811881188118812,0.777292576419214,3.836926531526677,0.3254549070299293,0.567072056360581,0.6510416666666666,0.6617563527956083,0.698829895446723,0.6566940809643637,0.8811881188118812,0.777292576419214,3.836926531526677,0.3254549070299293,0.567072056360581,0.6510416666666666,0.041503587110701116,0.6626049460365829,0.03750708151441353,0.6982505655106275,0.028231066300337122,0.6529403178622695,0.04309572196966508,0.8805704099821746,0.044115396330711494,0.7765606404846911,0.019225157292981562,3.83446571070682,0.13739694955483434,0.3255433088748928,0.046824583736951024,False
xapi,xapi,xapi_seq_k2_c16_h32,xapi_sequence_only_v30,sequence,False,,2,16,32,ce,True,none,0.15,64,,standard,False,low_recall_priority,0.05,1.0,0.9103825136612023,0.4348958333333333,0.5749972415315017,0.5225094293920205,0.3805830763076902,1.0,0.5519125683060109,6.272667229071431,-0.8028040171025159,0.567072056360581,0.4348958333333333,0.5749972415315017,0.5225094293920205,0.3805830763076902,1.0,0.5519125683060109,6.272667229071431,-0.8028040171025159,0.567072056360581,0.4348958333333333,0.12779004319151352,0.4542748600923036,0.2610722143481609,0.5225563909774436,0.13637022886438055,0.35295391042193497,0.1555784302349263,1.0,0.0,0.5794386696765695,0.12127723514671908,6.067603753190852,1.5907667525224929,-0.8103018378292172,0.9683389902481542,False
xapi,xapi,xapi_seq_k2_c16_h32,xapi_sequence_only_v30,sequence,False,,2,16,32,ce,True,none,0.15,64,,standard,False,balanced_low_macro,0.37499999999999994,1.0,0.7429672142899557,0.6510416666666666,0.6617563527956083,0.698829895446723,0.6566940809643637,0.8811881188118812,0.777292576419214,3.836926531526677,0.3254549070299293,0.567072056360581,0.6510416666666666,0.6617563527956083,0.698829895446723,0.6566940809643637,0.8811881188118812,0.777292576419214,3.836926531526677,0.3254549070299293,0.567072056360581,0.6510416666666666,0.041503587110701116,0.6626049460365829,0.03750708151441353,0.6982505655106275,0.028231066300337122,0.6529403178622695,0.04309572196966508,0.8805704099821746,0.044115396330711494,0.7765606404846911,0.019225157292981562,3.83446571070682,0.13739694955483434,0.3255433088748928,0.046824583736951024,False
xapi,xapi,xapi_gated_k2_c16_h32,xapi_gated_fusion_v30,fusion,False,,2,16,32,ce,True,none,0.15,64,,standard,False,argmax,,1.0,0.7671628111144083,0.7578125,0.7624819624819624,0.7770418586548783,0.7671628111144083,0.8613861386138614,0.8446601941747572,3.027865378447331,0.5799343740678133,0.829083969781366,0.7578125,0.7624819624819624,0.7770418586548783,0.7671628111144083,0.8613861386138614,0.8446601941747572,3.027865378447331,0.5799343740678133,0.829083969781366,0.7578125,0.00637887953849786,0.7635932561337389,0.00762781809288055,0.7768232226436561,0.002978298994862985,0.7667314078989809,0.006210428977104109,0.8609625668449198,0.05676179439604512,0.8436703237670199,0.02355043263048767,3.027076918869468,0.06909469768171979,0.5800144938875514,0.01677527498893843,False
xapi,xapi,xapi_gated_k2_c16_h32,xapi_gated_fusion_v30,fusion,False,,2,16,32,ce,True,none,0.15,64,,standard,False,low_f1_tuned,0.32499999999999996,1.0,0.8418849578858697,0.7552083333333334,0.7568027637423448,0.7790533024028033,0.763462558766867,0.8910891089108911,0.8411214953271028,3.1022085546698284,0.5590533956448245,0.829083969781366,0.7552083333333334,0.7568027637423448,0.7790533024028033,0.763462558766867,0.8910891089108911,0.8411214953271028,3.1022085546698284,0.5590533956448245,0.829083969781366,0.7552083333333334,0.02240188871625684,0.7577964627786478,0.021916160864403598,0.778888695297364,0.01535090894405552,0.7630029521681775,0.022410361630724126,0.8909685086155674,0.03703730182087877,0.8412059560666373,0.009969209868404405,3.0990434889492042,0.1400977168558218,0.5591918123222054,0.03846634899739298,False
xapi,xapi,xapi_gated_k2_c16_h32,xapi_gated_fusion_v30,fusion,False,,2,16,32,ce,True,none,0.15,64,,standard,False,low_recall_priority,0.075,1.0,0.9266841786219439,0.7161458333333334,0.7222923681257015,0.7587631077028599,0.7202476141758397,0.9603960396039604,0.7918367346938775,3.491992327692984,0.44128467733916665,0.829083969781366,0.7161458333333334,0.7222923681257015,0.7587631077028599,0.7202476141758397,0.9603960396039604,0.7918367346938775,3.491992327692984,0.44128467733916665,0.829083969781366,0.7161458333333334,0.009743899444723805,0.7233317759936426,0.008635258713466435,0.7584912221135132,0.0080001657412032,0.7199721346399949,0.010712013741368829,0.9598930481283423,0.03787616641867342,0.7915988341399572,0.010493900988905527,3.490978234651308,0.08415094686041609,0.4413845167847155,0.024143577978237084,False
xapi,xapi,xapi_gated_k2_c16_h32,xapi_gated_fusion_v30,fusion,False,,2,16,32,ce,True,none,0.15,64,,standard,False,balanced_low_macro,0.22499999999999998,1.0,0.816053937235795,0.75,0.750505623449469,0.7790923595629572,0.7565332634390582,0.9207920792079208,0.8303571428571429,3.2457905431496963,0.5172914387988465,0.829083969781366,0.75,0.750505623449469,0.7790923595629572,0.7565332634390582,0.9207920792079208,0.8303571428571429,3.2457905431496963,0.5172914387988465,0.829083969781366,0.75,0.029231698334171417,0.7523567286290574,0.02785716361570793,0.7787719819453566,0.021156118874964734,0.7560648353483611,0.030123217394859444,0.9203802733214497,0.029410264220474342,0.8314121966393001,0.017479831979033578,3.2372532342247666,0.23526101993591866,0.5176576054725842,0.06807230490409316,False
xapi,xapi,xapi_seq_k2_c16_h64,xapi_sequence_only_v30,sequence,False,,2,16,64,ce,True,none,0.15,64,,standard,False,argmax,,1.0,0.6418815368140672,0.6328125,0.6471353020454816,0.6787598255309804,0.6418815368140672,0.8415841584158416,0.7798165137614679,3.889338391680518,0.3069006662026448,0.5656897579468673,0.6328125,0.6471353020454816,0.6787598255309804,0.6418815368140672,0.8415841584158416,0.7798165137614679,3.889338391680518,0.3069006662026448,0.5656897579468673,0.6328125,0.0229993772560621,0.6535132817681794,0.03156024971093789,0.6789718279656359,0.01747738555282256,0.6400681897262155,0.02699383066080483,0.8419489007724302,0.07660852804548897,0.7797978199718706,0.004796583224569448,3.885581343758128,0.17091151523166806,0.30664711769332825,0.06215273381023274,False
xapi,xapi,xapi_seq_k2_c16_h64,xapi_sequence_only_v30,sequence,False,,2,16,64,ce,True,none,0.15,64,,standard,False,low_f1_tuned,0.32499999999999996,1.0,0.7839560890432121,0.6223958333333334,0.6378256215847221,0.6828217701869844,0.6227557098787666,0.9306930693069307,0.7833333333333333,3.95441143429293,0.28351397036889714,0.5656897579468673,0.6223958333333334,0.6378256215847221,0.6828217701869844,0.6227557098787666,0.9306930693069307,0.7833333333333333,3.95441143429293,0.28351397036889714,0.5656897579468673,0.6223958333333334,0.01327869664998121,0.6398417279677538,0.014731586710712303,0.6828282083700041,0.012239097520123575,0.622324641487959,0.014846452058430966,0.9304812834224597,0.015125278741958244,0.7833333333333333,0.023570226039551608,3.951361298829887,0.15528579386427754,0.28309617661972974,0.060654580484323185,False
xapi,xapi,xapi_seq_k2_c16_h64,xapi_sequence_only_v30,sequence,False,,2,16,64,ce,True,none,0.15,64,,standard,False,low_recall_priority,0.27499999999999997,1.0,0.9109638905066978,0.5729166666666666,0.6026046051806887,0.6493302553550279,0.5528655151541706,0.9603960396039604,0.7132352941176471,4.512064267974619,0.06718703390673153,0.5656897579468673,0.5729166666666666,0.6026046051806887,0.6493302553550279,0.5528655151541706,0.9603960396039604,0.7132352941176471,4.512064267974619,0.06718703390673153,0.5656897579468673,0.5729166666666666,0.04614595090278477,0.6427165412106145,0.023557667766388558,0.6490509547785089,0.03299764391535193,0.5473181792249168,0.07529655839577953,0.9598930481283423,0.03787616641867341,0.7220716651610961,0.07186856728105234,4.4788447143413785,0.5465107347066664,0.06775446164681849,0.22919478194890405,False
