sample_idx,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,True_Label,Pred_Label,Prob_Class_0,Prob_Class_1,Prob_Class_2,sample_idx_x,sample_idx_y,original_class,original_conf,desired_classes,new_class,new_conf,changed_features,num_changes,Recommendation
81,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,19,98,20,2,Yes,Good,Under-7,2,2,1,0.024087947,0.52962106,0.44629097,81,81.0,1.0,0.5741493701934814,[2],2.0,0.5181398987770081,{'raisedhands': 0.48999998569488523},1.0,"Sinh viên đang được dự đoán thuộc nhóm Medium với độ tin cậy 57%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'raisedhands': 0.48999998569488523}. Sau thay đổi này, dự đoán sẽ chuyển sang High với xác suất 52%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
82,F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,15,50,24,43,Yes,Bad,Under-7,1,1,1,0.028292552,0.8251709,0.14653656,82,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
83,M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Father,72,80,58,86,Yes,Good,Under-7,1,1,2,0.0019142252,0.34901878,0.64906704,83,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
84,F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,S,Mum,9,7,9,3,No,Good,Above-7,0,0,0,0.9550438,0.038857363,0.0060988422,84,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
85,M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,20,80,33,33,Yes,Good,Under-7,1,1,2,0.108669065,0.40687045,0.48446044,85,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
86,F,KW,KuwaIT,MiddleSchool,G-06,A,Quran,S,Father,70,40,2,16,No,Bad,Above-7,0,0,0,0.48905396,0.4738609,0.03708522,86,86.0,0.0,0.5913205742835999,"[1, 2]",1.0,0.5077791213989258,{'raisedhands': 0.9000000119209289},1.0,"Sinh viên đang được dự đoán thuộc nhóm Low với độ tin cậy 59%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'raisedhands': 0.9000000119209289}. Sau thay đổi này, dự đoán sẽ chuyển sang Medium với xác suất 51%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
87,M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,35,2,29,23,No,Bad,Above-7,0,0,0,0.91812575,0.08087663,0.0009975929,87,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
88,M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10,30,50,91,Yes,Bad,Above-7,0,0,0,0.63682157,0.35818043,0.004997988,88,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
89,M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,30,25,5,35,No,Bad,Above-7,0,0,0,0.75070953,0.22511342,0.024177024,89,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
90,M,Syria,Syria,lowerlevel,G-02,A,French,F,Father,24,35,18,31,No,Bad,Under-7,1,1,0,0.48140317,0.47473583,0.043861024,90,90.0,0.0,0.5883035659790039,"[1, 2]",1.0,0.5121102929115295,{'raisedhands': 0.5399999976158142},1.0,"Sinh viên đang được dự đoán thuộc nhóm Low với độ tin cậy 59%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'raisedhands': 0.5399999976158142}. Sau thay đổi này, dự đoán sẽ chuyển sang Medium với xác suất 51%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
91,M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,32,14,32,29,No,Good,Above-7,1,1,1,0.27817944,0.70362675,0.018193807,91,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
92,F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,49,36,32,44,No,Bad,Above-7,0,0,0,0.6889571,0.30274692,0.008295996,92,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
93,M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,12,30,0,17,No,Good,Above-7,0,0,0,0.8073324,0.16849545,0.024172109,93,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
94,M,Iran,Iran,lowerlevel,G-02,B,French,S,Mum,20,22,53,13,No,Good,Above-7,0,0,0,0.50607634,0.4801321,0.013791573,94,94.0,0.0,0.5288324952125549,"[1, 2]",1.0,0.5112416744232178,{'raisedhands': 0.40000001192092893},1.0,"Sinh viên đang được dự đoán thuộc nhóm Low với độ tin cậy 53%. Mô hình tìm thấy phương án cải thiện: điều chỉnh các yếu tố {'raisedhands': 0.40000001192092893}. Sau thay đổi này, dự đoán sẽ chuyển sang Medium với xác suất 51%. Khuyến nghị: sinh viên nên thực hiện các thay đổi trên và liên hệ cố vấn học tập để theo dõi tiến độ."
95,F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,87,93,63,60,Yes,Good,Under-7,2,2,2,0.00012284229,0.2930329,0.7068443,95,,,,,,,,,"Sinh viên đang có thành tích tốt, tiếp tục duy trì phương pháp học hiện tại."
