dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_mat,S0_EARLY_NO_GRADE,xgboost,1,3,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4944343617664852, 0.3499814195466369, 0.4456654456654456]",0.4300270756595226,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,4,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.44890411590992985, 0.38928133214123667, 0.4661622904613559]",0.43478257950417415,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,5,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.5048545311742785, 0.39633915675080816, 0.44746682166037005]",0.44955350319515225,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,6,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.40691142443251466, 0.39312169312169304, 0.4369435408082123]",0.41232555278747335,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,1,7,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.5320093936236524, 0.3955676164631388, 0.4409363153370256]",0.4561711084746056,,False
student_mat,S0_EARLY_NO_GRADE,mlp,1,0,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.36069818311682517, 0.36000000000000004, 0.38063660477453576]",0.367111595963787,,False
student_mat,S0_EARLY_NO_GRADE,mlp,1,1,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.36069818311682517, 0.3480299707602339, 0.38063660477453576]",0.3631215862171983,,False
student_mat,S0_EARLY_NO_GRADE,mlp,1,2,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.35807668684741606, 0.3480299707602339, 0.38063660477453576]",0.36224775412739524,,False
student_mat,S0_EARLY_NO_GRADE,mlp,1,3,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.3114035087719298, 0.3212669683257919, 0.35282651072124754]",0.3284989959396564,,False
student_mat,S0_EARLY_NO_GRADE,mlp,1,4,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.3114035087719298, 0.3212669683257919, 0.35282651072124754]",0.3284989959396564,,False
