dataset,scenario,model_id,outer_fold,selected_params,selected_inner_macro_f1,outer_rows_used_for_selection
student_mat,S0_EARLY_NO_GRADE,svm,1,"{""C"": 0.5, ""class_weight"": null, ""gamma"": ""scale""}",0.3666809471864755,False
student_mat,S0_EARLY_NO_GRADE,svm,2,"{""C"": 0.5, ""class_weight"": null, ""gamma"": ""scale""}",0.3688838572041439,False
student_mat,S0_EARLY_NO_GRADE,svm,3,"{""C"": 2.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.3933719921093302,False
student_mat,S0_EARLY_NO_GRADE,svm,4,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale""}",0.3476227865884918,False
student_mat,S1_MID_G1_ONLY,decision_tree,0,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.737205450593692,False
student_mat,S1_MID_G1_ONLY,decision_tree,1,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5}",0.7452935713154996,False
student_mat,S1_MID_G1_ONLY,decision_tree,2,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 5}",0.699810099841137,False
student_mat,S1_MID_G1_ONLY,decision_tree,3,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.7375600245156431,False
student_mat,S1_MID_G1_ONLY,decision_tree,4,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 5}",0.6950642502216787,False
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.7177073496304942,False
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,1,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.6964745382285759,False
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.6664039501287006,False
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,3,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.7277130796288919,False
