dataset,scenario,comparator,metric,delta,ci_95_low,ci_95_high,conclusion,replicates,sampling
student_mat,S2_LATE_G1_G2,decision_tree,low_recall,-0.007692307692307776,-0.0461538461538461,0.023076923076923106,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,decision_tree,low_f1,-0.007299270072992692,-0.027394483626662604,0.012179840609493175,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,random_forest,macro_f1,-0.01694662251189838,-0.04116618787797156,0.00732079625068837,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,random_forest,low_recall,0.023076923076922995,0.0,0.053846153846153766,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,random_forest,low_f1,-0.0003007189917711983,-0.018972587807212584,0.019030266221277348,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,macro_f1,0.013200342191419634,-0.013635866036426128,0.04157396875697347,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,low_recall,0.07692307692307687,0.023076923076923106,0.13096153846153574,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,low_f1,0.03336409654053751,-0.002030316104520963,0.0725447387780906,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,svm,macro_f1,0.011856776507562672,-0.014917225439470636,0.040057848254493086,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,svm,low_recall,0.07692307692307687,0.03076923076923077,0.12307692307692308,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,svm,low_f1,0.026914296987289643,-0.0024718838832867873,0.06021505376344083,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,xgboost,macro_f1,0.0013599920566057522,-0.021537095342759528,0.025071995085926235,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,xgboost,low_recall,0.053846153846153766,0.015384615384615441,0.09999999999999998,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,xgboost,low_f1,0.01690211207016179,-0.006820013731664229,0.044230769230769185,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,mlp,macro_f1,0.023379540969643453,-0.0015759645787485224,0.04938456939389057,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,mlp,low_recall,0.07692307692307687,0.03076923076923077,0.12307692307692308,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,mlp,low_f1,0.030151600224592845,0.0015904177678443604,0.06076853445050848,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,grade_band_reference,macro_f1,-0.023767883228168363,-0.04689841518526267,-0.0011512389388844615,comparator higher,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,grade_band_reference,low_recall,-0.023076923076923106,-0.05384615384615388,0.0,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S2_LATE_G1_G2,grade_band_reference,low_f1,-0.015444832328361358,-0.03310046928029712,-0.0031585698337713826,comparator higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,cnn_only,macro_f1,0.00688013446984842,-0.019051146242069408,0.03261286324078285,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,cnn_only,low_recall,0.030000000000000027,-0.010000000000000009,0.07999999999999996,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,cnn_only,low_f1,0.029645198732628553,-0.0005349431696911057,0.06327947680036138,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,bilstm_only,macro_f1,-0.011747756511713392,-0.038491296611836014,0.01492763017300677,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,bilstm_only,low_recall,0.0,-0.04999999999999993,0.050000000000000044,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,bilstm_only,low_f1,-0.014630004571876465,-0.05233935778429031,0.021624913039268886,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,logistic_regression,macro_f1,-0.042891859430253476,-0.06829601846412799,-0.017153802894372343,comparator higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,logistic_regression,low_recall,0.010000000000000009,0.0,0.030000000000000027,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,logistic_regression,low_f1,-0.02393814572219599,-0.045857887127104896,-0.0005658402016257455,comparator higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,decision_tree,macro_f1,-0.00412058309770158,-0.04342365858559144,0.036555396112998816,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,decision_tree,low_recall,0.18,0.09999999999999998,0.26999999999999996,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,decision_tree,low_f1,0.121774505354111,0.06161411318789026,0.18677928880279338,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,random_forest,macro_f1,-0.06093446160357524,-0.09230820201687284,-0.02846157265398278,comparator higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,random_forest,low_recall,0.08999999999999997,0.040000000000000036,0.15000000000000002,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,random_forest,low_f1,0.027504019011672542,-0.01094950537366773,0.07372363795074546,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,hist_gradient_boosting,macro_f1,0.005567382847126989,-0.04240704823516265,0.055194351427125976,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,hist_gradient_boosting,low_recall,0.38,0.28,0.48000000000000004,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,hist_gradient_boosting,low_f1,0.20407780642137335,0.11648617286384079,0.2968085756854096,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,svm,macro_f1,0.14101593189161732,0.09545476596757939,0.18759051022121181,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,svm,low_recall,0.5700000000000001,0.48,0.6699999999999999,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,svm,low_f1,0.39231310053902035,0.3037734596382824,0.4864351879553308,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,xgboost,macro_f1,0.007325643396060566,-0.039194794832775826,0.05727488208596421,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,xgboost,low_recall,0.41000000000000003,0.31000000000000005,0.51,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,xgboost,low_f1,0.2169665287893014,0.1316643843257218,0.30927407523606776,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,mlp,macro_f1,0.11379564107367518,0.06734604602405174,0.16019098141902172,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,mlp,low_recall,0.5,0.4,0.6,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,mlp,low_f1,0.2912101593625498,0.19378983634797595,0.39166666666666666,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,grade_band_reference,macro_f1,0.19594019325688722,0.16063359018800175,0.231771075879238,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,grade_band_reference,low_recall,0.64,0.55,0.73,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S0_EARLY_NO_GRADE,grade_band_reference,low_f1,0.5099601593625498,0.44354754352814146,0.5758754863813229,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,cnn_only,macro_f1,0.015489890535328232,0.0017792476244509277,0.029313517119080385,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,cnn_only,low_recall,-0.010000000000000009,-0.030000000000000027,0.0,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,cnn_only,low_f1,0.0027644230769231504,-0.012667444903979044,0.015789759848126715,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,bilstm_only,macro_f1,0.05618136597312784,0.03287209020914997,0.08126116751841005,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,bilstm_only,low_recall,-0.010000000000000009,-0.06000000000000005,0.040000000000000036,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,bilstm_only,low_f1,0.03499885531135549,-0.0006565560421051135,0.07229213504736658,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,logistic_regression,macro_f1,-0.014932681678670456,-0.04163565001013305,0.013210296479909818,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,logistic_regression,low_recall,0.13,0.05999999999999994,0.20000000000000007,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,logistic_regression,low_f1,0.0007884174311927339,-0.047688106129974664,0.05404974508295545,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,decision_tree,macro_f1,-0.05628500369488387,-0.08385632854830175,-0.028247221744989642,comparator higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,decision_tree,low_recall,0.17000000000000004,0.09999999999999998,0.25,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,decision_tree,low_f1,-0.04947916666666663,-0.10710258407898453,0.01248722416475562,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,random_forest,macro_f1,-0.04107843985052817,-0.06549122012384487,-0.01666955716530527,comparator higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,random_forest,low_recall,0.10999999999999999,0.050000000000000044,0.17000000000000004,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,random_forest,low_f1,-0.04412202380952368,-0.09211414498344335,0.0038553627885923435,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,hist_gradient_boosting,macro_f1,0.021822760120712714,-0.0135784475462783,0.06034209667530966,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,hist_gradient_boosting,low_recall,0.26,0.16999999999999993,0.35999999999999993,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,hist_gradient_boosting,low_f1,0.04427083333333348,-0.024436522483750143,0.12070427274143962,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,svm,macro_f1,0.0013624309900610587,-0.03286552684687787,0.035706495931143466,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,svm,low_recall,0.26,0.17999999999999994,0.35,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,svm,low_f1,0.03758223684210549,-0.02747608859803676,0.10729585318989344,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,xgboost,macro_f1,-0.023218975143462384,-0.05357427549001134,0.00757792334986837,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,xgboost,low_recall,0.18999999999999995,0.12,0.27,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,xgboost,low_f1,-0.01774839743589729,-0.07538534158877024,0.04556401621303801,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,mlp,macro_f1,0.009890973683169824,-0.025133021796771342,0.04703140573099756,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,mlp,low_recall,0.30000000000000004,0.20999999999999996,0.39,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,mlp,low_f1,0.06012228260869579,-0.010926028889716083,0.1333309297879617,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,grade_band_reference,macro_f1,0.013902575375813297,-0.015367588365432063,0.0456515286719437,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,grade_band_reference,low_recall,-0.010000000000000009,-0.04999999999999993,0.020000000000000018,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S1_MID_G1_ONLY,grade_band_reference,low_f1,-0.005137402723735307,-0.029122399291721914,0.01653796119598425,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,cnn_only,macro_f1,-0.0014696466811771058,-0.017399904319790584,0.013855596941005096,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,cnn_only,low_recall,0.030000000000000027,0.0,0.06999999999999995,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,cnn_only,low_f1,-0.01293356848912397,-0.041080532441398754,0.016212618789871354,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,bilstm_only,macro_f1,0.008982984399615312,-0.0035161655834131025,0.02164945518074904,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,bilstm_only,low_recall,0.0,-0.030000000000000027,0.030000000000000027,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,bilstm_only,low_f1,0.009133795041654125,-0.011780641542607948,0.03066662270248624,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,logistic_regression,macro_f1,0.006692794342522235,-0.01834551687575733,0.03154079844919804,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,logistic_regression,low_recall,0.10999999999999999,0.040000000000000036,0.18000000000000005,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,logistic_regression,low_f1,0.015026239287197485,-0.0317793503644355,0.06433554098232513,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,decision_tree,macro_f1,-0.0015181195306070983,-0.0318566391411671,0.02987229896870751,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,decision_tree,low_recall,0.24,0.16000000000000003,0.32999999999999996,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_por,S2_LATE_G1_G2,decision_tree,low_f1,0.024646869091313528,-0.0405025720698485,0.09604984165386753,insufficient evidence of difference,5000,paired_stratified_by_true_class
