dataset,information_level,sampler,fold,seed,pr_auc,f1,precision,recall,accuracy,macro_f1,balanced_accuracy,minority_recall,threshold,n_train,n_valid,epochs_run,n_train_sampled,n_train_original,pos_weight
oulad,75pct,smote,0,1201,0.888695801405551,0.7822485207100591,0.8160493827160494,0.7511363636363636,0.8565022421524664,0.8376203347952738,0.8313414082948811,0.7511363636363636,0.56,11004,5129,12,11004,8246,1.065588116645813
oulad,100pct,smote,0,1201,0.9248192937628515,0.8439073514602216,0.9318013343217197,0.7711656441717791,0.9069813962792559,0.8888292990382743,0.8719289188505082,0.7711656441717791,0.75,11004,4999,12,11004,7998,1.065588116645813
oulad,20pct,adasyn,0,1201,0.7177023121236276,0.6606152294503278,0.5740578439964943,0.7779097387173397,0.6575063613231552,0.6574776198612707,0.6725701854762122,0.7779097387173397,0.19,10530,5895,10,10530,9521,1.065588116645813
oulad,35pct,adasyn,0,1201,0.7762527781906065,0.6831801837794647,0.632630410654828,0.742509769865393,0.7203808180535967,0.7164717580304707,0.7238817771855905,0.742509769865393,0.3,10709,5672,10,10709,9122,1.065588116645813
oulad,50pct,adasyn,0,1201,0.8340531009984113,0.7232286172896125,0.6950198325253416,0.7538240917782026,0.7789782091192089,0.7696313792133171,0.7742109476403628,0.7538240917782026,0.26,10724,5461,10,10724,8748,1.065588116645813
oulad,75pct,adasyn,0,1201,0.873332005133297,0.7614213197969543,0.8620689655172413,0.6818181818181818,0.8533827256775199,0.8277976286572726,0.8124139885048166,0.6818181818181818,0.54,11007,5129,10,11007,8246,1.065588116645813
oulad,100pct,adasyn,0,1201,0.9175482021116672,0.8337205443079987,0.9081706435285611,0.7705521472392638,0.8997799559911982,0.8809977095197832,0.866427750675138,0.7705521472392638,0.47,11026,4999,10,11026,7998,1.065588116645813
oulad,20pct,control,0,2026,0.7627309598322769,0.6817864619678995,0.6094822208359326,0.7735550277117973,0.6905852417302799,0.6903484967482284,0.7009657002613602,0.7735550277117973,0.17,9521,5895,15,9521,9521,1.065588116645813
oulad,35pct,control,0,2026,0.8119706523840758,0.701732414944688,0.6756430868167203,0.7299174989144595,0.7480606488011283,0.7418321772571754,0.7451902721642645,0.7299174989144595,0.28,9122,5672,15,9122,9122,1.065588116645813
oulad,50pct,control,0,2026,0.8537613085418106,0.7396926079531593,0.7553562531141006,0.7246653919694073,0.8046145394616371,0.7916548925739708,0.7894624080654398,0.7246653919694073,0.29,8748,5461,15,8748,8748,1.065588116645813
