dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,risk_precision,accuracy,ece,brier,threshold,outer_test_used
uci,1,1201,S0,DT,0.4634926499510092,0.5421686746987951,0.7627118644067796,0.4205607476635514,0.7205882352941176,0.19155364162297586,0.19621453053347634,0.48,False
uci,1,1201,S0,RF,0.5467474815384532,0.5549132947976878,0.8135593220338984,0.42105263157894735,0.7169117647058824,0.08314404941961041,0.13325679580182045,0.28,False
uci,1,1201,S0,XGB,0.546796848708005,0.5287356321839081,0.7796610169491526,0.4,0.6985294117647058,0.08642279922017171,0.1421608651070815,0.15,False
uci,1,1201,S0,MLP,0.5643559503378748,0.46938775510204084,0.3898305084745763,0.5897435897435898,0.8088235294117647,0.15022873596664377,0.15807007377299098,0.4,False
uci,1,1201,S1,LR,0.8368225973647184,0.7226890756302521,0.7288135593220338,0.7166666666666667,0.8786764705882353,0.08939225097582061,0.09721277735762798,0.67,False
uci,1,1201,S1,DT,0.7502358724691726,0.6915887850467289,0.6271186440677966,0.7708333333333334,0.8786764705882353,0.08174141217576235,0.09132289270042823,0.76,False
uci,1,1201,S1,RF,0.8393445113051518,0.7079646017699115,0.6779661016949152,0.7407407407407407,0.8786764705882353,0.05459847159676867,0.07796926216683894,0.52,False
uci,1,1201,S1,XGB,0.8321285837155902,0.7175572519083969,0.7966101694915254,0.6527777777777778,0.8639705882352942,0.07604477629587669,0.09159020544046978,0.24,False
uci,1,1201,S1,MLP,0.8264544688330303,0.704,0.7457627118644068,0.6666666666666666,0.8639705882352942,0.0981121838198565,0.09597161276291079,0.2,False
uci,1,1201,S2,LR,0.927914625500575,0.8333333333333334,0.7627118644067796,0.9183673469387755,0.9338235294117647,0.04250822232118414,0.05456890921935201,0.84,False
uci,1,1201,S2,DT,0.874548961014386,0.7659574468085106,0.9152542372881356,0.6585365853658537,0.8786764705882353,0.07597626692416186,0.07202374594585177,0.36,False
uci,1,1201,S2,RF,0.9273584657833854,0.762589928057554,0.8983050847457628,0.6625,0.8786764705882353,0.060578242594782825,0.056784442682222304,0.29,False
uci,1,1201,S2,XGB,0.9122503528202708,0.7899159663865546,0.7966101694915254,0.7833333333333333,0.9080882352941176,0.06018572076230639,0.061642309467482545,0.41,False
uci,1,1201,S2,MLP,0.9312455841897022,0.8076923076923077,0.711864406779661,0.9333333333333333,0.9264705882352942,0.06254171102260776,0.055670002602792236,0.88,False
uci,1,2026,S0,LR,0.5144198469971109,0.4774774774774775,0.8983050847457628,0.32515337423312884,0.5735294117647058,0.16442932869136545,0.16698810239423695,0.21,False
uci,1,2026,S0,DT,0.4634926499510092,0.5421686746987951,0.7627118644067796,0.4205607476635514,0.7205882352941176,0.1915536416229759,0.19621453053347637,0.48,False
uci,1,2026,S0,RF,0.5812068438908362,0.5555555555555556,0.7627118644067796,0.4368932038834951,0.7352941176470589,0.09508281414129598,0.13386613668669123,0.3,False
uci,1,2026,S0,XGB,0.5303263005662187,0.5056179775280899,0.7627118644067796,0.37815126050420167,0.6764705882352942,0.08013618924708092,0.14613232346337396,0.15,False
uci,1,2026,S0,MLP,0.547803018019134,0.5040650406504065,0.5254237288135594,0.484375,0.7757352941176471,0.16734201093007228,0.1683258138538953,0.09,False
uci,1,2026,S1,LR,0.8368225973647184,0.7226890756302521,0.7288135593220338,0.7166666666666667,0.8786764705882353,0.08939225097582061,0.09721277735762798,0.67,False
uci,1,2026,S1,DT,0.7502358724691726,0.6915887850467289,0.6271186440677966,0.7708333333333334,0.8786764705882353,0.08174141217576235,0.09132289270042825,0.76,False
uci,1,2026,S1,RF,0.8407135290343768,0.6909090909090909,0.6440677966101694,0.7450980392156863,0.875,0.07338525467804875,0.07823059302353869,0.55,False
uci,1,2026,S1,XGB,0.8273914927747149,0.7244094488188977,0.7796610169491526,0.6764705882352942,0.8713235294117647,0.0823107465341095,0.09240261134679353,0.29,False
uci,1,2026,S1,MLP,0.8212798352279654,0.7076923076923077,0.7796610169491526,0.647887323943662,0.8602941176470589,0.09440271353850285,0.09069136086226956,0.05,False
uci,1,2026,S2,LR,0.927914625500575,0.8333333333333334,0.7627118644067796,0.9183673469387755,0.9338235294117647,0.04250822232118414,0.05456890921935201,0.84,False
uci,1,2026,S2,DT,0.874548961014386,0.7659574468085106,0.9152542372881356,0.6585365853658537,0.8786764705882353,0.07597626692416186,0.07202374594585179,0.36,False
uci,1,2026,S2,RF,0.9238024953653776,0.8,0.7457627118644068,0.8627450980392157,0.9191176470588235,0.06714047115436401,0.05701292490132542,0.56,False
uci,1,2026,S2,XGB,0.9106541171793733,0.8141592920353983,0.7796610169491526,0.8518518518518519,0.9227941176470589,0.06769921519662604,0.06295701559110865,0.61,False
uci,1,2026,S2,MLP,0.9250516739215988,0.8067226890756303,0.8135593220338984,0.8,0.9154411764705882,0.06504024916528459,0.06631352420046188,0.12,False
uci,2,42,S0,LR,0.447593829791751,0.47953216374269003,0.7192982456140351,0.35964912280701755,0.6751824817518248,0.2048332922497674,0.20278806316025222,0.42,False
uci,2,42,S0,DT,0.3818916668643392,0.4716981132075472,0.8771929824561403,0.3225806451612903,0.5912408759124088,0.20723869590226002,0.21333331033072397,0.22,False
uci,2,42,S0,RF,0.480892329577089,0.43137254901960786,0.9649122807017544,0.2777777777777778,0.4708029197080292,0.08756721703796301,0.14262999601017098,0.17,False
uci,2,42,S0,XGB,0.4663622185673577,0.4678362573099415,0.7017543859649122,0.3508771929824561,0.6678832116788321,0.11656736670296476,0.16623451844097267,0.21,False
uci,2,42,S0,MLP,0.3924511830168514,0.42990654205607476,0.40350877192982454,0.46,0.7773722627737226,0.20051632103620726,0.20341865528800723,0.43,False
uci,2,42,S1,LR,0.7480456383517338,0.6896551724137931,0.8771929824561403,0.5681818181818182,0.8357664233576643,0.10043357503376779,0.11102841031645286,0.36,False
uci,2,42,S1,DT,0.7397724357485702,0.7105263157894737,0.9473684210526315,0.5684210526315789,0.8394160583941606,0.10006041775265508,0.10244594690068193,0.5,False
uci,2,42,S1,RF,0.8025173227989303,0.6875,0.9649122807017544,0.5339805825242718,0.8175182481751825,0.08558358064496505,0.07825018976147821,0.33,False
uci,2,42,S1,XGB,0.7885340181713176,0.691358024691358,0.9824561403508771,0.5333333333333333,0.8175182481751825,0.056947034754557535,0.08215196332004349,0.11,False
uci,2,42,S1,MLP,0.7236183422606165,0.6324786324786325,0.6491228070175439,0.6166666666666667,0.843065693430657,0.13083250548986328,0.12853780213610477,0.23,False
uci,2,42,S2,LR,0.8502648333921811,0.7819548872180451,0.9122807017543859,0.6842105263157895,0.8941605839416058,0.08787915009227623,0.0887004395238983,0.5,False
uci,2,42,S2,DT,0.8623824078710104,0.7611940298507462,0.8947368421052632,0.6623376623376623,0.8832116788321168,0.12134679886101815,0.10005154005702416,0.59,False
uci,2,42,S2,RF,0.9202856575270697,0.8188976377952756,0.9122807017543859,0.7428571428571429,0.916058394160584,0.07533797202630214,0.05879079109397918,0.47,False
uci,2,42,S2,XGB,0.9098042932979118,0.7903225806451613,0.8596491228070176,0.7313432835820896,0.9051094890510949,0.06042242628933493,0.0686280747787957,0.43,False
uci,2,42,S2,MLP,0.8616790239686393,0.7874015748031497,0.8771929824561403,0.7142857142857143,0.9014598540145985,0.08776411025827387,0.08185731795569859,0.14,False
uci,2,1201,S0,LR,0.447593829791751,0.47953216374269003,0.7192982456140351,0.35964912280701755,0.6751824817518248,0.2048332922497674,0.20278806316025222,0.42,False
uci,2,1201,S0,DT,0.3818916668643392,0.4716981132075472,0.8771929824561403,0.3225806451612903,0.5912408759124088,0.20723869590225996,0.21333331033072397,0.22,False
uci,2,1201,S0,RF,0.4831478357403805,0.5131578947368421,0.6842105263157895,0.4105263157894737,0.7299270072992701,0.07631989924630278,0.13997673217259046,0.33,False
uci,2,1201,S0,XGB,0.4439204440010363,0.46994535519125685,0.7543859649122807,0.3412698412698413,0.6459854014598541,0.10949903391862464,0.16485640679859045,0.16,False
uci,2,1201,S0,MLP,0.38031865614973437,0.40625,0.45614035087719296,0.36619718309859156,0.7226277372262774,0.19486422681985868,0.19723858568689745,0.07,False
uci,2,1201,S1,LR,0.7480456383517338,0.6896551724137931,0.8771929824561403,0.5681818181818182,0.8357664233576643,0.10043357503376779,0.11102841031645286,0.36,False
uci,2,1201,S1,DT,0.7397724357485702,0.7105263157894737,0.9473684210526315,0.5684210526315789,0.8394160583941606,0.10006041775265506,0.1024459469006819,0.5,False
uci,2,1201,S1,RF,0.7903873135745678,0.7681159420289855,0.9298245614035088,0.654320987654321,0.8832116788321168,0.08039312781039563,0.07749123246985207,0.42,False
uci,2,1201,S1,XGB,0.7800823450773221,0.7019867549668874,0.9298245614035088,0.5638297872340425,0.8357664233576643,0.05835919666556934,0.08243220755040664,0.19,False
uci,2,1201,S1,MLP,0.7301426369328661,0.688,0.7543859649122807,0.6323529411764706,0.8576642335766423,0.1387404089913457,0.12677703547379318,0.1,False
uci,2,1201,S2,LR,0.8502648333921811,0.7819548872180451,0.9122807017543859,0.6842105263157895,0.8941605839416058,0.08787915009227623,0.0887004395238983,0.5,False
uci,2,1201,S2,DT,0.8623824078710104,0.7611940298507462,0.8947368421052632,0.6623376623376623,0.8832116788321168,0.12134679886101817,0.10005154005702416,0.59,False
uci,2,1201,S2,RF,0.9108736522966671,0.8346456692913385,0.9298245614035088,0.7571428571428571,0.9233576642335767,0.07736700898571922,0.0603858590658557,0.49,False
uci,2,1201,S2,XGB,0.9131453423254148,0.7883211678832117,0.9473684210526315,0.675,0.8941605839416058,0.060177676592648444,0.06658189942161806,0.21,False
uci,2,1201,S2,MLP,0.8660045965109908,0.7575757575757576,0.8771929824561403,0.6666666666666666,0.8832116788321168,0.08097209731500853,0.07759705651311112,0.05,False
uci,2,2026,S0,LR,0.447593829791751,0.47953216374269003,0.7192982456140351,0.35964912280701755,0.6751824817518248,0.2048332922497674,0.20278806316025222,0.42,False
uci,2,2026,S0,DT,0.3818916668643392,0.4716981132075472,0.8771929824561403,0.3225806451612903,0.5912408759124088,0.20723869590225996,0.21333331033072395,0.22,False
uci,2,2026,S0,RF,0.4489356099493082,0.4588744588744589,0.9298245614035088,0.3045977011494253,0.5437956204379562,0.06949981636814427,0.14381635032066498,0.18,False
uci,2,2026,S0,XGB,0.45218405968409137,0.44,0.5789473684210527,0.3548387096774194,0.6934306569343066,0.11354937611307514,0.16516613798813842,0.29,False
uci,2,2026,S0,MLP,0.39088564558833877,0.41904761904761906,0.38596491228070173,0.4583333333333333,0.7773722627737226,0.19846141665468373,0.19853646863649155,0.48,False
uci,2,2026,S1,LR,0.7480456383517338,0.6896551724137931,0.8771929824561403,0.5681818181818182,0.8357664233576643,0.10043357503376779,0.11102841031645286,0.36,False
uci,2,2026,S1,DT,0.7397724357485702,0.7105263157894737,0.9473684210526315,0.5684210526315789,0.8394160583941606,0.10006041775265505,0.10244594690068191,0.5,False
uci,2,2026,S1,RF,0.8131909491142775,0.6832298136645962,0.9649122807017544,0.5288461538461539,0.8138686131386861,0.08367069701874898,0.07769679976321542,0.32,False
uci,2,2026,S1,XGB,0.7888463539172801,0.7464788732394366,0.9298245614035088,0.6235294117647059,0.8686131386861314,0.054599540251397266,0.08189524280922256,0.28,False
uci,2,2026,S1,MLP,0.7188052958371233,0.6774193548387096,0.7368421052631579,0.6268656716417911,0.8540145985401459,0.13075417657173888,0.12452708370582533,0.09,False
uci,2,2026,S2,LR,0.8502648333921811,0.7819548872180451,0.9122807017543859,0.6842105263157895,0.8941605839416058,0.08787915009227623,0.0887004395238983,0.5,False
uci,2,2026,S2,DT,0.8623824078710104,0.7611940298507462,0.8947368421052632,0.6623376623376623,0.8832116788321168,0.12134679886101817,0.10005154005702414,0.59,False
uci,2,2026,S2,RF,0.9223843218036045,0.8387096774193549,0.9122807017543859,0.7761194029850746,0.927007299270073,0.07474631949490082,0.05810263681053556,0.49,False
uci,2,2026,S2,XGB,0.9088700041693168,0.7883211678832117,0.9473684210526315,0.675,0.8941605839416058,0.05582195911794412,0.069401460900333,0.26,False
uci,2,2026,S2,MLP,0.8588748349096542,0.8099173553719008,0.8596491228070176,0.765625,0.916058394160584,0.08055703945723419,0.07694998563608371,0.4,False
oulad,0,42,20pct,LR,0.7654090989049877,0.6904024767801857,0.7945368171021377,0.6104014598540146,0.6946564885496184,0.0490474299758116,0.1824334252134008,0.39,False
oulad,0,42,20pct,DT,0.7090419730390458,0.6411574338473254,0.6666666666666666,0.6175284195086175,0.6802374893977947,0.07432096010026122,0.20588727979920873,0.41,False
oulad,0,42,20pct,RF,0.7526438490604148,0.6749415362475265,0.7426761678543151,0.6185295087372239,0.6934690415606446,0.020061703808531756,0.18600985787791516,0.38,False
oulad,0,42,20pct,XGB,0.7685497271931298,0.6854058078927774,0.7288202692003167,0.6468728039353479,0.7133163698049194,0.0407566791714704,0.1815941349804388,0.43,False
oulad,0,42,20pct,MLP,0.688168266558334,0.6255991478785727,0.6975455265241488,0.5671065336337303,0.6422391857506361,0.2816757814414491,0.2973656484747116,0.06,False
oulad,0,42,35pct,LR,0.8068539139405924,0.6988309519391352,0.817629179331307,0.6101749837977966,0.7138575458392101,0.060273527880851684,0.16228119559508145,0.36,False
oulad,0,42,35pct,DT,0.7611578442286723,0.6609071274298056,0.7972210160660008,0.5644020903781125,0.6678420310296191,0.07106037795364883,0.18241027787529454,0.38,False
oulad,0,42,35pct,RF,0.7990250527017675,0.6927014218009478,0.7933130699088146,0.6147375504710633,0.7142101551480959,0.02923341827819318,0.16278336198644683,0.33,False
oulad,0,42,35pct,XGB,0.813418978402203,0.7029016890428758,0.7047329570125923,0.7010799136069115,0.7581100141043724,0.04778591757384096,0.15924866932066364,0.46,False
oulad,0,42,35pct,MLP,0.7381282110406859,0.6295388728001782,0.6135475466782457,0.6463860933211345,0.706805359661495,0.24911039905795657,0.2622124729641472,0.43,False
oulad,0,42,50pct,LR,0.8487640811320546,0.7458094144661309,0.7762906309751434,0.7176314626601856,0.7972898736495148,0.0674427435294541,0.1374653027976774,0.45,False
oulad,0,42,50pct,DT,0.8095410999602712,0.6992171405026782,0.8111854684512428,0.6144098479362781,0.7326496978575352,0.07993017638567021,0.156290548255022,0.37,False
oulad,0,42,50pct,RF,0.8478548036356012,0.7386673272231855,0.7127151051625239,0.7665809768637533,0.8068119392052737,0.030994135418626688,0.13375161854134576,0.42,False
oulad,0,42,50pct,XGB,0.8549144009448408,0.7398519274955323,0.6926386233269598,0.793972602739726,0.8134041384361839,0.05324881196887014,0.13344635436743638,0.54,False
oulad,0,42,50pct,MLP,0.8030244148800909,0.6840277777777778,0.6591778202676865,0.7108247422680413,0.766709393883904,0.19438121803410022,0.2053193357669103,0.4,False
oulad,0,42,75pct,LR,0.8925022224853041,0.7848262671342047,0.6994318181818182,0.8939724037763254,0.8683953987131995,0.07372664185204941,0.10489265936795907,0.67,False
oulad,0,42,75pct,DT,0.8643429246174763,0.7726454709058188,0.7318181818181818,0.818297331639136,0.8522129069994151,0.08159985865100162,0.12053997271765093,0.59,False
