dataset,scenario,model_id,class_label,precision,recall,f1,support
student_por,S1_MID_G1_ONLY,logistic_regression,Medium,0.8772845953002611,0.8038277511961722,0.8389513108614233,418
student_por,S1_MID_G1_ONLY,logistic_regression,High,0.7432432432432432,0.8396946564885496,0.7885304659498208,131
student_por,S1_MID_G1_ONLY,decision_tree,Low,0.7608695652173914,0.7,0.7291666666666666,100
student_por,S1_MID_G1_ONLY,decision_tree,Medium,0.8856447688564477,0.8708133971291866,0.8781664656212304,418
student_por,S1_MID_G1_ONLY,decision_tree,High,0.7808219178082192,0.8702290076335878,0.8231046931407943,131
student_por,S1_MID_G1_ONLY,random_forest,Low,0.6909090909090909,0.76,0.7238095238095238,100
student_por,S1_MID_G1_ONLY,random_forest,Medium,0.8860759493670886,0.8373205741626795,0.8610086100861009,418
student_por,S1_MID_G1_ONLY,random_forest,High,0.7638888888888888,0.8396946564885496,0.8,131
student_por,S1_MID_G1_ONLY,hist_gradient_boosting,Low,0.6630434782608695,0.61,0.6354166666666666,100
student_por,S1_MID_G1_ONLY,hist_gradient_boosting,Medium,0.8177676537585421,0.8588516746411483,0.8378063010501751,418
student_por,S1_MID_G1_ONLY,hist_gradient_boosting,High,0.7627118644067796,0.6870229007633588,0.7228915662650602,131
student_por,S1_MID_G1_ONLY,svm,Low,0.6777777777777778,0.61,0.6421052631578947,100
student_por,S1_MID_G1_ONLY,svm,Medium,0.8341013824884793,0.8660287081339713,0.8497652582159625,418
student_por,S1_MID_G1_ONLY,svm,High,0.784,0.7480916030534351,0.765625,131
student_por,S1_MID_G1_ONLY,xgboost,Low,0.7157894736842105,0.68,0.6974358974358974,100
student_por,S1_MID_G1_ONLY,xgboost,Medium,0.8537735849056604,0.8660287081339713,0.8598574821852731,418
student_por,S1_MID_G1_ONLY,xgboost,High,0.7769230769230769,0.7709923664122137,0.7739463601532567,131
student_por,S1_MID_G1_ONLY,mlp,Low,0.6785714285714286,0.57,0.6195652173913043,100
student_por,S1_MID_G1_ONLY,mlp,Medium,0.821826280623608,0.8827751196172249,0.8512110726643599,418
student_por,S1_MID_G1_ONLY,mlp,High,0.8103448275862069,0.7175572519083969,0.7611336032388664,131
student_por,S1_MID_G1_ONLY,cnn_only,Low,0.55,0.88,0.676923076923077,100
student_por,S1_MID_G1_ONLY,cnn_only,Medium,0.9137380191693291,0.6842105263157895,0.7824897400820794,418
student_por,S1_MID_G1_ONLY,cnn_only,High,0.6590909090909091,0.8854961832061069,0.755700325732899,131
student_por,S1_MID_G1_ONLY,bilstm_only,Low,0.5086705202312138,0.88,0.6446886446886447,100
student_por,S1_MID_G1_ONLY,bilstm_only,Medium,0.910394265232975,0.6076555023923444,0.7288378766140603,418
student_por,S1_MID_G1_ONLY,bilstm_only,High,0.5989847715736041,0.9007633587786259,0.7195121951219512,131
student_por,S1_MID_G1_ONLY,cnn_bilstm,Low,0.5576923076923077,0.87,0.6796875,100
student_por,S1_MID_G1_ONLY,cnn_bilstm,Medium,0.9093655589123867,0.7200956937799043,0.8037383177570093,418
student_por,S1_MID_G1_ONLY,cnn_bilstm,High,0.7037037037037037,0.8702290076335878,0.7781569965870307,131
student_por,S2_LATE_G1_G2,logistic_regression,Low,0.6779661016949152,0.8,0.7339449541284404,100
