dataset,scenario,model_id,outer_fold,runtime_seconds,study_total_seconds
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,0,11.42205529997591,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,1,10.860373200033791,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,2,9.775359199964441,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,3,12.389600099995732,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm,4,8.351974899997003,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_only,0,7.7402664999244735,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_only,1,7.124156899983063,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_only,2,5.440721400082111,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_only,3,7.656442799954675,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_only,4,7.388255400001071,1169.5611943999538
student_mat,S1_MID_G1_ONLY,bilstm_only,0,6.064601899939589,1169.5611943999538
student_mat,S1_MID_G1_ONLY,bilstm_only,1,13.66876290005166,1169.5611943999538
student_mat,S1_MID_G1_ONLY,bilstm_only,2,10.39268789999187,1169.5611943999538
student_mat,S1_MID_G1_ONLY,bilstm_only,3,7.550872799940407,1169.5611943999538
student_mat,S1_MID_G1_ONLY,bilstm_only,4,10.5809076000005,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_bilstm,0,13.576056399964727,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_bilstm,1,15.283418899984099,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_bilstm,2,14.445569099974819,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_bilstm,3,10.646890599979088,1169.5611943999538
student_mat,S1_MID_G1_ONLY,cnn_bilstm,4,13.448855700087734,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_only,0,11.323845200007781,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_only,1,10.290591700002551,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_only,2,12.436381199979223,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_only,3,8.376590300002135,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_only,4,10.296720999991521,1169.5611943999538
student_mat,S2_LATE_G1_G2,bilstm_only,0,13.767697799950838,1169.5611943999538
student_mat,S2_LATE_G1_G2,bilstm_only,1,12.863663100055419,1169.5611943999538
student_mat,S2_LATE_G1_G2,bilstm_only,2,13.1564918999793,1169.5611943999538
student_mat,S2_LATE_G1_G2,bilstm_only,3,9.44068779994268,1169.5611943999538
student_mat,S2_LATE_G1_G2,bilstm_only,4,13.496897100005299,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_bilstm,0,13.447901000035927,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_bilstm,1,16.60804029996507,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_bilstm,2,16.699624400003813,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_bilstm,3,17.728109100018628,1169.5611943999538
student_mat,S2_LATE_G1_G2,cnn_bilstm,4,15.755877100047655,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,logistic_regression,0,0.6333533999277279,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,random_forest,0,10.56784259993583,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,xgboost,0,3.594424800015986,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,mlp,0,5.037132199970074,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,logistic_regression,1,0.6587195000611246,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,random_forest,1,10.535059400019236,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,xgboost,1,3.71362950000912,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,mlp,1,4.695523399976082,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,logistic_regression,2,0.6720195999369025,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,random_forest,2,10.414076099987142,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,xgboost,2,3.4693181000184268,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,mlp,2,5.685486400034279,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,logistic_regression,3,0.6612594000762329,1169.5611943999538
student_por,S0_EARLY_NO_GRADE,random_forest,3,10.519737099995837,1169.5611943999538
