dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_por,S0_EARLY_NO_GRADE,mlp,1,8,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.31281788701143537, 0.27220299884659743, 0.329140109582914]",0.30472033181364894,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,2,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}","[0.3737100103199174, 0.3917399943230202, 0.33721833721833727]",0.36755611395375826,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,2,1,COMPLETE,"{""C"": 0.1, ""class_weight"": ""balanced""}","[0.4307108945420617, 0.5273911669249212, 0.43314408350404837]",0.4637487149903437,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,2,2,COMPLETE,"{""C"": 1.0, ""class_weight"": null}","[0.39571150097465885, 0.41603053435114506, 0.3629906025428414]",0.39157754595621513,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,2,3,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}","[0.4174043510877719, 0.5143361795202664, 0.4067750921999776]",0.44617187426933863,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,2,4,COMPLETE,"{""C"": 10.0, ""class_weight"": null}","[0.39571150097465885, 0.4291071635899222, 0.37945642271484964]",0.40142502909314354,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,2,5,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}","[0.4240530036990214, 0.4999364056256952, 0.4116882385671136]",0.4452258826306101,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.35560207879448075, 0.4214419288051827, 0.4457198176406683]",0.4075879417467772,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,1,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.3663603453077137, 0.3790805769171377, 0.4187381056946274]",0.3880596759731596,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,2,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.3644955300127714, 0.3389136389136389, 0.3946765308994411]",0.36602856660861716,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,3,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.5305184546890708, 0.552401290549223, 0.5162818170799911]",0.5330671874394283,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,4,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.3607137869810681, 0.35804372441424964, 0.4015300523457414]",0.3734291879136864,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,5,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.45837173579109064, 0.4890646247235395, 0.4783810960281549]",0.47527248551426166,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,6,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.3702474173310062, 0.3057886261547589, 0.382269325640704]",0.35276845637548965,,False
student_por,S0_EARLY_NO_GRADE,random_forest,2,7,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.5428744322753539, 0.5479506325952337, 0.5439072758428156]",0.5449107802378012,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,0,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4437051494773621, 0.44033847512108387, 0.36103752423292024]",0.4150270496104554,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,1,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4556146978021978, 0.4361933286351891, 0.386004152904943]",0.42593739311410994,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,2,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.47827020275940124, 0.45646258503401366, 0.4415082956259427]",0.4587470278064525,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,3,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4255823379348163, 0.47006802721088436, 0.3942761091697262]",0.42997549143847563,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,4,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4012411184914428, 0.4591331643124472, 0.3945687974726087]",0.4183143600921662,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,5,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.38440876708593247, 0.46898000433883097, 0.41354221674587804]",0.4223103293902138,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,6,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.40424729219909944, 0.4304096638655462, 0.3990653776228825]",0.4112407778958427,,False
student_por,S0_EARLY_NO_GRADE,xgboost,2,7,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.43505891698662785, 0.4392088285408325, 0.4116736487729895]",0.42864713143348326,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,0,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.31892340546943215, 0.28909459844711644, 0.36855482933914313]",0.32552427775189724,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,1,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.31892340546943215, 0.28909459844711644, 0.36855482933914313]",0.32552427775189724,,False
