domain,model,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,train_pr_auc,generalization_gap,feature_count,outer_test_used
oulad,RF,1,1201,75pct,0.8825190335399026,0.9044978763069872,0.8616010854816825,0.9367296631059984,0.6415306696679798,0.7615230460921844,0.64,0.9986624533978647,0.11614341985796217,96,False
oulad,RF,1,1201,FINAL-100,0.9803053089170956,0.9712116689320192,0.9264361482297837,0.9788026353480378,0.881351560484911,0.9275244299674267,0.55,0.9999046412909929,0.019599332373897327,96,False
oulad,RF,1,2026,20pct,0.7554455497688096,0.7790867765209188,0.683073832245103,0.6045536249251049,0.7788498649170205,0.6807218755270703,0.36,0.99817546528351,0.24272991551470036,96,False
oulad,RF,1,2026,35pct,0.7918729094561527,0.8148466831559995,0.7475507347795661,0.6959964804223493,0.6778063410454156,0.6867809854569134,0.41,0.997754797349105,0.20588188789295225,96,False
oulad,RF,1,2026,50pct,0.8365299680312042,0.8617398207861106,0.7915528854906244,0.7619305856832972,0.6655613453339649,0.7104930467762326,0.43,0.9985405465913395,0.16201057856013534,96,False
oulad,RF,1,2026,75pct,0.883404486835185,0.90505829298544,0.8608257414227564,0.9460825610783488,0.6319639842431064,0.7577597840755735,0.67,0.998685007421714,0.11528052058652893,96,False
oulad,RF,1,2026,FINAL-100,0.9803410487031735,0.9712432048959068,0.9268494282959086,0.9788208357183743,0.8821253546556616,0.927960927960928,0.55,0.9998975545229696,0.019556505819796066,96,False
oulad,RF,2,42,20pct,0.7450134904259975,0.7762510841089743,0.6774793039364757,0.5847404627892433,0.762953896368829,0.6620640821384316,0.38,0.9980602441001056,0.2530467536741081,96,False
oulad,RF,2,42,35pct,0.789868793726163,0.8186381458046194,0.7212046495244805,0.613347841857091,0.7658514492753623,0.6811681772406848,0.36,0.9984023861984999,0.20853359247233683,96,False
oulad,RF,2,42,50pct,0.8375598537128892,0.866267353238052,0.7920955882352941,0.7037396794560467,0.7355329949238578,0.7192851824274014,0.4,0.9986254092152214,0.16106555550233215,96,False
oulad,RF,2,42,75pct,0.8781754026373418,0.9058085460408947,0.8625242718446602,0.8347107438016529,0.7214285714285714,0.7739463601532567,0.43,0.9987273181211593,0.1205519154838175,96,False
