dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_f1_tuned,0.6,0.8389453476440081,0.8449367088607594,0.8449988963091054,0.8557936316557005,0.8501095487700031,0.8461538461538461,0.8380952380952381,3.024033478818093,0.5617024258589334,0.845077401852306
student-mat,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,low_recall_priority,0.125,0.9532451923076923,0.7943037974683544,0.8207098100974225,0.8367709876330567,0.8085729306313966,0.9903846153846154,0.8046875,3.36387641820594,0.45765462384811184,0.845077401852306
student-por,early,context_mlp_only,default,0.15,0.0001,True,argmax,,0.3796972583889065,0.6377649325626205,0.3736758263639984,0.4095558882235529,0.3796972583889065,0.3125,0.373134328358209,3.4595794235793966,-0.18837444486712207,0.6651150011143473
student-por,early,context_mlp_only,default,0.15,0.0001,True,low_threshold_tuned,0.05,0.7230479050099685,0.4527938342967245,0.31563952616584195,0.4721806387225549,0.32477972859990994,0.9375,0.410958904109589,5.645901543502243,-2.1649969368165896,0.6651150011143473
student-por,early,context_mlp_only,default,0.15,0.0001,True,low_f1_tuned,0.22499999999999998,0.48344524556412066,0.5799614643545279,0.34585364130818674,0.48101297405189625,0.3943981064935276,0.7125,0.4830508474576271,4.237585290517742,-0.7829682026080187,0.6651150011143473
student-por,early,context_mlp_only,default,0.15,0.0001,True,low_recall_priority,0.05,0.8321917808219178,0.4527938342967245,0.31563952616584195,0.4721806387225549,0.32477972859990994,0.9375,0.410958904109589,5.645901543502243,-2.1649969368165896,0.6651150011143473
student-por,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,argmax,,0.4592286597227275,0.581888246628131,0.48394606301963256,0.44709628362322973,0.4592286597227275,0.3,0.36363636363636365,3.7881648166661597,-0.42483451068686073,0.7011365566065316
student-por,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_threshold_tuned,0.05,0.6990588684045141,0.45664739884393063,0.44524013797209044,0.5129407850964737,0.4187396240128976,0.85,0.4276729559748428,5.326751116454325,-1.8172896798365121,0.7011365566065316
student-por,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_f1_tuned,0.125,0.454236106442577,0.5105973025048169,0.4482598902319088,0.5030534169755727,0.45459383753501403,0.675,0.453781512605042,4.513734126095488,-1.022919689302523,0.7011365566065316
student-por,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_recall_priority,0.05,0.7655345911949686,0.45664739884393063,0.44524013797209044,0.5129407850964737,0.4187396240128976,0.85,0.4276729559748428,5.326751116454325,-1.8172896798365121,0.7011365566065316
student-por,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,argmax,,0.45864995430212824,0.5684007707129094,0.46839380341137044,0.4516003706871971,0.45864995430212824,0.3625,0.3918918918918919,3.8472771443995146,-0.4696490498602215,0.6607442912798167
student-por,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_threshold_tuned,0.05,0.7225688932236713,0.4238921001926782,0.4422574923032974,0.5042961695656306,0.393053980639061,0.9,0.4067796610169492,5.669570263692992,-2.191589128684667,0.6607442912798167
student-por,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_f1_tuned,0.125,0.46639604349040864,0.48940269749518306,0.4509623614414811,0.5247540633019675,0.4462227018781544,0.8125,0.4659498207885305,4.837185362901389,-1.3232297122155772,0.6607442912798167
student-por,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_recall_priority,0.05,0.80135593220339,0.4238921001926782,0.4422574923032974,0.5042961695656306,0.393053980639061,0.9,0.4067796610169492,5.669570263692992,-2.191589128684667,0.6607442912798167
student-por,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,argmax,,0.453964501482232,0.5780346820809249,0.47003219526804435,0.44471533124227736,0.453964501482232,0.35,0.3888888888888889,3.7547016126964547,-0.3997728046816944,0.7184553258910574
student-por,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_threshold_tuned,0.05,0.692681726007396,0.41040462427745666,0.4063856415134735,0.4648536260811709,0.35409064573541715,0.875,0.3856749311294766,5.862752679314163,-2.412792163558512,0.7184553258910574
student-por,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_f1_tuned,0.35,0.4946047951673988,0.5838150289017341,0.4857832988267771,0.49207062066343504,0.4871481085752361,0.525,0.49411764705882355,3.8644543867315986,-0.48280166274461234,0.7184553258910574
student-por,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_recall_priority,0.05,0.7771349862258954,0.41040462427745666,0.4063856415134735,0.4648536260811709,0.35409064573541715,0.875,0.3856749311294766,5.862752679314163,-2.412792163558512,0.7184553258910574
student-por,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,argmax,,0.7235621619745665,0.7996146435452793,0.8030535961897872,0.6883197889934417,0.7235621619745665,0.4375,0.5737704918032787,2.5095194482752423,0.3747008696344527,0.7919761435144899
student-por,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_threshold_tuned,0.1,0.8625048754875488,0.651252408477842,0.6694393781563902,0.7477259766181922,0.6535853585358536,0.975,0.5454545454545454,3.8604012090951176,-0.4796928633355746,0.7919761435144899
student-por,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_f1_tuned,0.27499999999999997,0.726890908772312,0.8169556840077071,0.7866108093808677,0.7670124037639008,0.7762590907834251,0.7125,0.7261146496815286,2.5732056434022126,0.3425606665133232,0.7919761435144899
student-por,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,low_recall_priority,0.05,0.8898876404494382,0.5260115606936416,0.6237567089448732,0.6891930424864556,0.5612263754465334,1.0,0.449438202247191,4.608883940319737,-1.109105174457695,0.7919761435144899
student-por,midterm,context_mlp_only,default,0.15,0.0001,True,argmax,,0.3796972583889065,0.6377649325626205,0.3736758263639984,0.4095558882235529,0.3796972583889065,0.3125,0.373134328358209,3.4595794235793966,-0.18837444486712207,0.6651150011143473
student-por,midterm,context_mlp_only,default,0.15,0.0001,True,low_threshold_tuned,0.05,0.7230479050099685,0.4527938342967245,0.31563952616584195,0.4721806387225549,0.32477972859990994,0.9375,0.410958904109589,5.645901543502243,-2.1649969368165896,0.6651150011143473
student-por,midterm,context_mlp_only,default,0.15,0.0001,True,low_f1_tuned,0.22499999999999998,0.48344524556412066,0.5799614643545279,0.34585364130818674,0.48101297405189625,0.3943981064935276,0.7125,0.4830508474576271,4.237585290517742,-0.7829682026080187,0.6651150011143473
student-por,midterm,context_mlp_only,default,0.15,0.0001,True,low_recall_priority,0.05,0.8321917808219178,0.4527938342967245,0.31563952616584195,0.4721806387225549,0.32477972859990994,0.9375,0.410958904109589,5.645901543502243,-2.1649969368165896,0.6651150011143473
