dataset,scenario,candidate_id,variant,model_family,fold,cnn_kernel_size,cnn_channels,lstm_hidden_dim,pooling,loss_name,imbalance_strategy,dropout,context_hidden_dim,ordinal_weight,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,midterm,seq_k2_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,2,2,64,96,attention,class_balanced_focal_loss,class_balanced_focal_loss,0.2,64,0.3,0.833976833976834,0.7909677940404475,0.8053009365883618,0.7968124776635414,0.675,0.6923076923076923,2.421748307497058,0.35946200285247243,0.582159161567688
student-por,midterm,seq_k2_c32_h64_last_random_focal,sequence_cnn_bilstm_v28_focal,sequence,1,2,32,64,last,focal_loss_class_weight,random_oversampling_focal_loss,0.2,64,0.3,0.5961538461538461,0.6390276177817161,0.7564832598953037,0.6167401158969922,0.9,0.7128712871287128,3.553844072593463,-0.15025106062504467,0.6521729230880737
student-por,midterm,seq_k2_c32_h64_last_random_focal,sequence_cnn_bilstm_v28_focal,sequence,2,2,32,64,last,focal_loss_class_weight,random_oversampling_focal_loss,0.2,64,0.3,0.6061776061776062,0.6384317367532107,0.7710578842315369,0.6178104575163399,0.9,0.6666666666666666,3.456988892196821,-0.3052174033383046,0.6765053272247314
student-por,midterm,seq_k1_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,1,1,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.46153846153846156,0.5747135922330097,0.7056349565020902,0.473331930336052,0.975,0.5454545454545454,4.332236054368371,-0.7093072289562425,0.8069109320640564
student-por,midterm,seq_k1_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,2,1,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.4942084942084942,0.5976676511090132,0.7321856287425149,0.5060649536976652,0.975,0.5454545454545454,4.1269665956793595,-0.860153548332476,0.8334696888923645
student-por,midterm,seq_k2_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,1,2,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.7038461538461539,0.6781010428551412,0.7994915828719918,0.6998459845984598,0.9,0.7128712871287128,3.19990985449951,0.06745157635355159,0.6439327001571655
student-por,midterm,seq_k2_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,2,2,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.7065637065637066,0.6797803852344115,0.8141255949639183,0.6998236331569666,0.9,0.6666666666666666,3.1314508707601587,-0.07097194091865244,0.6998312473297119
student-por,midterm,seq_k2_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,1,2,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.823076923076923,0.785507682281876,0.8147572778970362,0.796581923908804,0.75,0.759493670886076,2.5962250702480736,0.38612410087692706,0.7390452027320862
student-por,midterm,seq_k2_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,2,2,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.833976833976834,0.7909677940404475,0.8053009365883618,0.7968124776635414,0.675,0.6923076923076923,2.421748307497058,0.35946200285247243,0.7866952419281006
student-por,midterm,gated_k2_c32_h64_attn_cw,gated_fusion_v28,fusion,1,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.7923076923076923,0.7440841548764044,0.8239332655443828,0.7707737955262708,0.9,0.7128712871287128,2.979093821953246,0.19171547091213081,0.7324523329734802
student-por,midterm,gated_k2_c32_h64_attn_cw,gated_fusion_v28,fusion,2,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.8223938223938224,0.7714760140129195,0.8119875633348688,0.7894415423827188,0.725,0.6823529411764706,2.5627265885317474,0.2827155147149807,0.7860367894172668
xapi,xapi,seq_k2_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,1,2,16,32,last,class_weight,none_class_weight,0.2,64,0.3,0.6145833333333334,0.6301892551892553,0.669109047127623,0.6157276333172379,0.9,0.7377049180327869,4.323657065108965,0.1387132302971883,0.6559091210365295
