run_id,metric_name,dimension,expected,actual,status
final:student_por:cnn_bilstm,weighted_f1,overall,0.8896472207203324,0.8896472207203324,PASS
final:student_por:cnn_bilstm,precision,Low,0.7428571428571429,0.7428571428571429,PASS
final:student_por:cnn_bilstm,recall,Low,0.78,0.78,PASS
final:student_por:cnn_bilstm,f1,Low,0.7609756097560976,0.7609756097560976,PASS
final:student_por:cnn_bilstm,support,Low,100,100.0,PASS
final:student_por:cnn_bilstm,precision,Medium,0.9199029126213591,0.9199029126213591,PASS
final:student_por:cnn_bilstm,recall,Medium,0.9066985645933014,0.9066985645933014,PASS
final:student_por:cnn_bilstm,f1,Medium,0.9132530120481928,0.9132530120481928,PASS
final:student_por:cnn_bilstm,support,Medium,418,418.0,PASS
final:student_por:cnn_bilstm,precision,High,0.9090909090909092,0.9090909090909092,PASS
final:student_por:cnn_bilstm,recall,High,0.916030534351145,0.916030534351145,PASS
final:student_por:cnn_bilstm,f1,High,0.9125475285171104,0.9125475285171104,PASS
final:student_por:cnn_bilstm,support,High,131,131.0,PASS
final:student_por:cnn_only,accuracy,overall,0.8767334360554699,0.8767334360554699,PASS
final:student_por:cnn_only,balanced_accuracy,overall,0.8518420443892522,0.8518420443892522,PASS
final:student_por:cnn_only,brier,overall,0.16864954726292922,0.16864954726292922,PASS
final:student_por:cnn_only,ece,overall,0.04410482384570404,0.04410482384570404,PASS
final:student_por:cnn_only,macro_f1,overall,0.8468079089978452,0.8468079089978452,PASS
final:student_por:cnn_only,macro_precision,overall,0.8420282876721302,0.8420282876721302,PASS
final:student_por:cnn_only,macro_recall,overall,0.8518420443892522,0.8518420443892522,PASS
final:student_por:cnn_only,nll,overall,0.29590530593351183,0.29590530593351183,PASS
final:student_por:cnn_only,pr_auc,overall,0.9214543817473171,0.9214543817473171,PASS
final:student_por:cnn_only,roc_auc,overall,0.9635969229905171,0.9635969229905171,PASS
final:student_por:cnn_only,weighted_f1,overall,0.8772553774833354,0.8772553774833354,PASS
final:student_por:cnn_only,precision,Low,0.7211538461538461,0.7211538461538461,PASS
final:student_por:cnn_only,recall,Low,0.75,0.75,PASS
final:student_por:cnn_only,f1,Low,0.7352941176470589,0.7352941176470589,PASS
final:student_por:cnn_only,support,Low,100,100.0,PASS
final:student_por:cnn_only,precision,Medium,0.9101941747572816,0.9101941747572816,PASS
