dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,accuracy,ece,brier,outer_test_used
uci,2,2026,S1,SVM,0.8160374527442827,0.72,0.9473684210526315,0.8467153284671532,0.048871917098677074,0.07743396262051727,False
uci,2,2026,S1,MLP,0.7188052958371233,0.6774193548387096,0.7368421052631579,0.8540145985401459,0.13075417657173888,0.12452708370582533,False
uci,2,2026,S2,LR,0.8502648333921811,0.7819548872180451,0.9122807017543859,0.8941605839416058,0.08787915009227623,0.0887004395238983,False
uci,2,2026,S2,DT,0.8623824078710104,0.7611940298507462,0.8947368421052632,0.8832116788321168,0.12134679886101817,0.10005154005702414,False
uci,2,2026,S2,RF,0.9223843218036045,0.8387096774193549,0.9122807017543859,0.927007299270073,0.0747463194949008,0.05810263681053556,False
uci,2,2026,S2,SVM,0.8742708852088402,0.7846153846153846,0.8947368421052632,0.8978102189781022,0.04480645938984685,0.06551171421909333,False
uci,2,2026,S2,MLP,0.8588748349096542,0.8099173553719008,0.8596491228070176,0.916058394160584,0.08055703945723419,0.07694998563608371,False
oulad,0,42,20pct,LR,0.7653696653530739,0.6901650618982118,0.7945368171021377,0.6943172179813402,0.04898409943742481,0.1824450721160156,False
oulad,0,42,20pct,DT,0.7074864408792431,0.6412940057088488,0.6670625494853524,0.6802374893977947,0.07425780322330186,0.20618765656399285,False
oulad,0,42,20pct,RF,0.7518161605475273,0.6757611046414906,0.8040380047505938,0.6693808312128923,0.02051402624738063,0.1858793077532484,False
oulad,0,42,20pct,SVM,0.7569948148365532,0.6839360222531293,0.778701504354711,0.6916030534351145,0.11226039838675868,0.2019628287991456,False
oulad,0,42,20pct,MLP,0.6903939224775113,0.617906683480454,0.6789390340459224,0.6402035623409669,0.28115105353738346,0.29567212786170777,False
oulad,0,42,35pct,LR,0.8068094675280375,0.7016159338594513,0.8106817194963092,0.7200282087447109,0.06057496156413968,0.16229678965867939,False
oulad,0,42,35pct,DT,0.7588763667590177,0.6569264069264069,0.7907077724706904,0.6646685472496474,0.0726925193018972,0.18321113372796974,False
oulad,0,42,35pct,RF,0.8008193137508429,0.6951040134482034,0.7181936604429006,0.7441819464033851,0.024776184665133035,0.16215773215213097,False
oulad,0,42,35pct,SVM,0.7891217185371713,0.6829662558092544,0.7338254450716457,0.7233779971791255,0.09855914258810551,0.17936106980442423,False
oulad,0,42,35pct,MLP,0.7407354768040911,0.6396472070558589,0.6613113330438558,0.6974612129760226,0.24725667393492679,0.26242567543244116,False
oulad,0,42,50pct,LR,0.8488066601040279,0.7398119122257053,0.7896749521988528,0.7872184581578465,0.0675476021155006,0.1374554700834291,False
oulad,0,42,50pct,DT,0.8101246761523446,0.7003923188106546,0.8107074569789675,0.7342977476652628,0.07731979497375654,0.1556231062851386,False
oulad,0,42,50pct,RF,0.8476528708583172,0.736790844898953,0.7232313575525813,0.8020509064273943,0.029872927675614894,0.13367108009139053,False
oulad,0,42,50pct,SVM,0.83159755022382,0.7186999313344015,0.7504780114722753,0.7749496429225416,0.10592536922583086,0.15318534935419514,False
oulad,0,42,50pct,MLP,0.8036345919164953,0.6890676762896356,0.6959847036328872,0.7593847280717817,0.19757638505916442,0.208906876010401,False
oulad,0,42,75pct,LR,0.8925163672879224,0.7845761631612492,0.6994318181818182,0.8682004289335153,0.0737297071945575,0.10488647772295129,False
oulad,0,42,75pct,DT,0.8678534413504999,0.7751282825233927,0.7295454545454545,0.854747514135309,0.08197277588854476,0.120568862132566,False
oulad,0,42,75pct,RF,0.8924827342317638,0.7932926829268293,0.7392045454545455,0.867810489374147,0.0304070340553078,0.0969574851951786,False
oulad,0,42,75pct,SVM,0.8778545667260033,0.7747368421052632,0.7318181818181818,0.8539676350165725,0.06917019928238412,0.11074603584561847,False
oulad,0,42,75pct,MLP,0.8645991846574461,0.7564668769716089,0.68125,0.849483330083837,0.13718067802549572,0.14523483707661647,False
oulad,0,42,100pct,LR,0.9200288996621656,0.8323066392881588,0.7460122699386503,0.9019803960792159,0.06985029780733526,0.08468891464803116,False
oulad,0,42,100pct,DT,0.8936026196721987,0.8294220665499125,0.7263803680981595,0.9025805161032207,0.07682031200242925,0.09582997836140526,False
oulad,0,42,100pct,RF,0.9216336597335686,0.8402249421104863,0.7791411042944786,0.9033806761352271,0.03131435282855434,0.0742711893457857,False
oulad,0,42,100pct,SVM,0.9130177358534947,0.8277758679958749,0.7386503067484662,0.8997799559911982,0.0412225277565994,0.08205562319331587,False
oulad,0,42,100pct,MLP,0.9038961515505106,0.8162450066577897,0.7521472392638037,0.8895779155831166,0.10385966874190485,0.10904956135614433,False
oulad,0,1201,20pct,LR,0.7653696653530739,0.6901650618982118,0.7945368171021377,0.6943172179813402,0.04898409943742481,0.1824450721160156,False
oulad,0,1201,20pct,DT,0.7071677942149723,0.6410354015987819,0.6666666666666666,0.6800678541136557,0.07443609363490102,0.20632197577120423,False
oulad,0,1201,20pct,RF,0.7516111369150071,0.6733542319749216,0.850356294536817,0.6464800678541136,0.01920473241186621,0.18611917659601837,False
oulad,0,1201,20pct,SVM,0.7569948148365532,0.6839360222531293,0.778701504354711,0.6916030534351145,0.11226039838675868,0.2019628287991456,False
