dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,early,smotenc,mlp,1,0.5,0.4790416973043168,0.5465079275411441,0.48194673206439836,0.675,0.5046728971962616,4.846092795708248,-0.7138488053845748,0.5980285191293737
student-por,early,smotenc,logistic_regression,2,0.4671814671814672,0.45065729212070677,0.5197029018885306,0.44995527911835076,0.575,0.3770491803278688,4.9932386716871875,-0.8278386817207666,0.6438029460419505
student-por,early,smotenc,random_forest,2,0.5019305019305019,0.3954878048780488,0.39676032550284046,0.396076986165758,0.35,0.345679012345679,4.534296589311904,-0.5072769616977286,0.6616473616473616
student-por,early,smotenc,xgboost,2,0.5482625482625483,0.4777461117306642,0.4780976508521419,0.47325609306463184,0.35,0.3835616438356164,4.262048558505395,-0.3317110395394156,0.5217032768551447
student-por,early,smotenc,mlp,2,0.44015444015444016,0.42108443648597665,0.4938430830646399,0.4238052800893986,0.65,0.4297520661157025,4.982885768222123,-0.8202669148239752,0.5056744181895384
student-por,early,random_oversampling,logistic_regression,1,0.47692307692307695,0.4839915696562278,0.5474117802131585,0.4804022447832961,0.675,0.5567010309278351,4.670282481985266,-0.5917518138447304,0.6302835462585771
student-por,early,random_oversampling,random_forest,1,0.5807692307692308,0.4761881994012043,0.46106183858697697,0.46743961352657,0.325,0.3466666666666667,4.22674633913423,-0.30377132345420077,0.6048717948717948
student-por,early,random_oversampling,xgboost,1,0.4807692307692308,0.4944491096982056,0.57312356419237,0.4852824309346049,0.65,0.5252525252525253,4.644475626607792,-0.5742091426464768,0.47658300674878634
student-por,early,random_oversampling,mlp,1,0.4076923076923077,0.4174823633156966,0.47182615900274927,0.39432771690493135,0.4,0.3404255319148936,5.267918140827697,-1.0251961338111784,0.41736541040769387
student-por,early,random_oversampling,logistic_regression,2,0.47876447876447875,0.45988505747126435,0.5364424996161522,0.46382284220777475,0.6,0.42857142857142855,4.783841044091571,-0.6777478631404434,0.6121608012553462
student-por,early,random_oversampling,random_forest,2,0.5173745173745173,0.4085939486397152,0.40915860586519265,0.40847154275189657,0.35,0.34146341463414637,4.444205806549158,-0.4479765817022967,0.6631917631917632
student-por,early,random_oversampling,xgboost,2,0.47104247104247104,0.45084277238403453,0.5134385076001843,0.4524791458124791,0.525,0.42,4.806085267497404,-0.693386746170265,0.5065154493085205
student-por,early,random_oversampling,mlp,2,0.44015444015444016,0.4263977481110663,0.500748502994012,0.4275419932282678,0.625,0.42016806722689076,4.982885768222123,-0.8202669148239752,0.5061274710409854
student-por,midterm,none,logistic_regression,1,0.7461538461538462,0.7520276347914162,0.5667231574586675,0.5994876583111877,0.2,0.3137254901960784,3.1941954566658275,0.25541886366132804,0.7067861273750865
student-por,midterm,none,random_forest,1,0.8076923076923077,0.8099508599508599,0.7072148156517155,0.7341329966329967,0.425,0.5666666666666667,2.7735009811261455,0.4386345216558877,0.7230769230769231
student-por,midterm,none,xgboost,1,0.7884615384615384,0.7668621700879766,0.7058213761156932,0.7177515446170454,0.425,0.5483870967741935,2.9014253791488813,0.3856556546371621,0.723049140893496
student-por,midterm,none,mlp,1,0.6230769230769231,0.4544039984911354,0.35933322035174936,0.33476307189542487,0.125,0.20833333333333334,3.868760485259806,-0.09227687948805641,0.5138836527166158
student-por,midterm,none,logistic_regression,2,0.7181467181467182,0.74536971692935,0.536377245508982,0.5712002756778877,0.425,0.5151515151515151,3.2928200820366866,0.20510600419011338,0.6923470524487186
student-por,midterm,none,random_forest,2,0.7683397683397684,0.7475376475376475,0.6417818209734377,0.6795998660639544,0.425,0.5,3.077192221670913,0.3058034274997785,0.7437580437580439
student-por,midterm,none,xgboost,2,0.7760617760617761,0.7934866491742553,0.6115960386918471,0.6617392758918834,0.325,0.4406779661016949,3.027065809183443,0.3282356714837307,0.7424562635569039
student-por,midterm,none,mlp,2,0.640926640926641,0.3259548611111111,0.3357515737755259,0.2721684934450892,0.0,0.0,3.709140332708107,-0.008601809158578666,0.5328565187614569
student-por,midterm,class_weight,logistic_regression,1,0.6923076923076923,0.6596409181314842,0.7575236319813204,0.6807730610547512,0.775,0.6666666666666666,3.3975387018795282,0.15760092905986645,0.6416045031448205
student-por,midterm,class_weight,random_forest,1,0.7807692307692308,0.83712715855573,0.6443829322487101,0.6761077306531852,0.3,0.46153846153846156,2.941251695870576,0.3686743489172527,0.7176923076923077
student-por,midterm,class_weight,xgboost,1,0.7961538461538461,0.7455923330669781,0.8388091741046209,0.7776285431664415,0.9,0.7346938775510204,2.835726741744725,0.4131625630760236,0.6609528368482223
student-por,midterm,class_weight,mlp,1,0.3076923076923077,0.3893622163811596,0.5156055812902497,0.323174733388023,0.625,0.4716981132075472,5.545788422827654,-1.2444795237893471,0.42124250423047843
