dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,fold,status,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-por,early,context_mlp_only,default,0.15,0.0001,True,1,evaluated,0.6346153846153846,0.35750163791220785,0.38003992015968063,0.34693142793840703,0.2,0.2711864406779661,3.553438205023844,-0.1499883462602274,0.6763553619384766,12.006564357740906,-12.129053281082035
student-por,early,context_mlp_only,default,0.15,0.0001,True,2,evaluated,0.640926640926641,0.3836309523809524,0.4390718562874252,0.4051605569764138,0.425,0.4533333333333333,3.3627243505697963,-0.23500701721252226,0.6538312435150146,12.139799954763474,-15.09570294441345
student-por,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,1,evaluated,0.5884615384615385,0.4940397575264994,0.42478062742439643,0.4366910866910867,0.2,0.2857142857142857,3.7581961712420577,-0.28633710160040193,0.7122716903686523,12.691041927196315,-13.668660675937089
student-por,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,2,evaluated,0.5752895752895753,0.48112961659759684,0.46943037002917243,0.47470044118163934,0.4,0.42105263157894735,3.818012582119142,-0.592067944852199,0.6899585127830505,12.2899203101441,-15.496242088669238
student-por,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,1,evaluated,0.573076923076923,0.4783818236880841,0.4231339208375701,0.43518769583710554,0.225,0.3050847457627119,3.7482046984574446,-0.2795065281151523,0.6690853238105774,12.654719250461257,-13.58481530536226
student-por,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,2,evaluated,0.5637065637065637,0.4693877551020407,0.4799631506218332,0.4719890863635445,0.5,0.449438202247191,3.9442299383973305,-0.6990702600438943,0.6523710489273071,12.282021142066224,-15.475043462593703
student-por,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,1,evaluated,0.5923076923076923,0.49470785181985094,0.4224833352163597,0.4351648351648352,0.2,0.2857142857142857,3.759730964188385,-0.2873879590596713,0.7296888828277588,12.270113651658596,-12.711755966733923
student-por,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,2,evaluated,0.5637065637065637,0.45829450139794975,0.4667204053431598,0.45874108976682365,0.5,0.45454545454545453,3.7496460579427437,-0.5355622887509688,0.7071783542633057,12.634045170484686,-16.43298427015574
student-por,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,1,evaluated,0.823076923076923,0.8160446783201275,0.7767333258012278,0.7839342010823455,0.6,0.7164179104477612,2.4357118687751855,0.4596841230257689,0.7873627543449402,12.301827834143813,-12.782728269706453
student-por,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,2,evaluated,0.7760617760617761,0.8082285829673381,0.5989213879932443,0.6487212005918411,0.275,0.4,2.5814903958939426,0.27217341469609446,0.7966073751449585,12.387921236960668,-15.760376048346934
student-por,midterm,context_mlp_only,default,0.15,0.0001,True,1,evaluated,0.6346153846153846,0.35750163791220785,0.38003992015968063,0.34693142793840703,0.2,0.2711864406779661,3.553438205023844,-0.1499883462602274,0.6763553619384766,12.006564357740906,-12.129053281082035
student-por,midterm,context_mlp_only,default,0.15,0.0001,True,2,evaluated,0.640926640926641,0.3836309523809524,0.4390718562874252,0.4051605569764138,0.425,0.4533333333333333,3.3627243505697963,-0.23500701721252226,0.6538312435150146,12.139799954763474,-15.09570294441345
