dataset,scenario,baseline_selected_by,baseline_model,baseline_strategy,baseline_locked_macro_f1,baseline_locked_recall_low,baseline_locked_f1_low,deep_variant,deep_config_id,deep_prediction_mode,deep_cv_selected,deep_locked_macro_f1,deep_locked_recall_low,deep_locked_f1_low,macro_f1_gap_deep_minus_baseline,recall_low_gap_deep_minus_baseline,f1_low_gap_deep_minus_baseline
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_only,default,argmax,False,0.37703703703703706,0.3076923076923077,0.4,-0.4378553585005198,-0.6538461538461539,-0.3936507936507936
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_only,default,low_threshold_tuned,False,0.16507936507936508,1.0,0.49523809523809526,-0.6498130304581918,0.038461538461538436,-0.29841269841269835
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_only,default,low_f1_tuned,False,0.37500495147553975,0.5,0.4727272727272727,-0.43988744406201713,-0.46153846153846156,-0.3209235209235209
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_only,default,low_recall_priority,False,0.16507936507936508,1.0,0.49523809523809526,-0.6498130304581918,0.038461538461538436,-0.29841269841269835
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.1_wd0.0001_fs1,argmax,False,0.4835081319349445,0.3076923076923077,0.37209302325581395,-0.33138426360261236,-0.6538461538461539,-0.42155777039497966
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_threshold_tuned,False,0.23036567222613735,0.9615384615384616,0.5050505050505051,-0.5845267233114195,0.0,-0.2886002886002885
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_f1_tuned,False,0.4144091710758377,0.6923076923076923,0.48,-0.4004832244617192,-0.2692307692307693,-0.3136507936507936
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_recall_priority,False,0.23036567222613735,0.9615384615384616,0.5050505050505051,-0.5845267233114195,0.0,-0.2886002886002885
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.0001_fs1,argmax,False,0.49943833943833943,0.3076923076923077,0.38095238095238093,-0.31545405609921745,-0.6538461538461539,-0.4126984126984127
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_threshold_tuned,False,0.27129921736136314,0.9615384615384616,0.5102040816326531,-0.5435931781761938,0.0,-0.28344671201814053
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_f1_tuned,False,0.4637527727364388,0.5,0.4482758620689655,-0.3511396228011181,-0.46153846153846156,-0.3453749315818281
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_recall_priority,False,0.18376068376068377,1.0,0.5,-0.6311317117768731,0.038461538461538436,-0.2936507936507936
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.001_fs0,argmax,False,0.37855124200505724,0.3076923076923077,0.3333333333333333,-0.43634115353249964,-0.6538461538461539,-0.4603174603174603
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.001_fs0,low_threshold_tuned,False,0.2242077128675067,0.9230769230769231,0.4948453608247423,-0.5906846826700501,-0.038461538461538436,-0.2988054328260513
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.001_fs0,low_f1_tuned,False,0.37122576105626953,0.6923076923076923,0.46153846153846156,-0.44366663448128735,-0.2692307692307693,-0.33211233211233204
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,context_mlp_v2,dropout0.25_wd0.001_fs0,low_recall_priority,False,0.2242077128675067,0.9230769230769231,0.4948453608247423,-0.5906846826700501,-0.038461538461538436,-0.2988054328260513
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,fusion_cnn_bilstm_context,default,argmax,False,0.759001014198783,0.8461538461538461,0.7586206896551724,-0.055891381338773916,-0.11538461538461542,-0.03503010399562123
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,fusion_cnn_bilstm_context,default,low_threshold_tuned,False,0.7229793827472806,0.9615384615384616,0.746268656716418,-0.0919130127902763,0.0,-0.04738213693437565
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,fusion_cnn_bilstm_context,default,low_f1_tuned,True,0.7570564516129031,0.9615384615384616,0.78125,-0.05783594392465374,0.0,-0.012400793650793607
student-mat,midterm,cv_macro_f1_recall_low_f1_low,xgboost,random_oversampling,0.8148923955375569,0.9615384615384616,0.7936507936507936,fusion_cnn_bilstm_context,default,low_recall_priority,False,0.7229793827472806,0.9615384615384616,0.746268656716418,-0.0919130127902763,0.0,-0.04738213693437565
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_only,default,argmax,False,0.3471663671886141,0.1,0.15384615384615385,-0.03517629543918749,-0.30000000000000004,-0.15987933634992457
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_only,default,low_threshold_tuned,False,0.30376608930557764,0.6,0.2857142857142857,-0.07857657332222395,0.19999999999999996,-0.02801120448179273
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_only,default,low_f1_tuned,False,0.41394384047208854,0.5,0.4166666666666667,0.031601177844286954,0.09999999999999998,0.10294117647058826
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_only,default,low_recall_priority,False,0.30376608930557764,0.6,0.2857142857142857,-0.07857657332222395,0.19999999999999996,-0.02801120448179273
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.1_wd0.0001_fs1,argmax,False,0.3681547619047619,0.2,0.2857142857142857,-0.014187900723039715,-0.2,-0.02801120448179273
