phase,candidate,outer_fold,seed,inner_fold,stage,alpha_mean,alpha_std,residual_logit_abs_mean,hybrid_logit_abs_mean,logit_correlation,residual_changes_class_fraction_at_0_5
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,1,E2_EARLY_35PCT,0.06899887323379517,7.450580596923828e-09,0.6036365628242493,0.9418869018554688,0.6888647016954303,0.09152288072018004
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,1,M1_MIDDLE_FROZEN,0.06899886578321457,0.0,0.8339909315109253,1.2439424991607666,0.7922035291522176,0.04583577140628048
stability,H1_TABULAR_RESIDUAL_EXPERT,0,2026,1,L1_LATE_75PCT,0.06899886578321457,0.0,0.972541868686676,1.5888803005218506,0.8659890608864934,0.02989965185336883
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,0,E1_EARLY_20PCT,0.07214932143688202,7.450580596923828e-09,0.630013644695282,0.7010754346847534,0.642165842532805,0.1492942453854506
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,0,E2_EARLY_35PCT,0.07214932143688202,7.450580596923828e-09,0.7971045970916748,0.9489614367485046,0.7400700456767705,0.11788004526593739
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,0,M1_MIDDLE_FROZEN,0.07214932143688202,7.450580596923828e-09,0.9040655493736267,1.281167984008789,0.7909877588291117,0.07902439024390244
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,0,L1_LATE_75PCT,0.07214931398630142,0.0,1.0875076055526733,1.6702864170074463,0.8547206143171617,0.048459958932238194
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,1,E1_EARLY_20PCT,0.06929557770490646,0.0,0.5413463711738586,0.7512289881706238,0.5961897991439391,0.1610568222946073
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,1,E2_EARLY_35PCT,0.06929557770490646,0.0,0.5974354147911072,1.040095329284668,0.7389346882431719,0.10950954698614751
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,1,M1_MIDDLE_FROZEN,0.06929557770490646,0.0,0.7488417625427246,1.4351444244384766,0.8418610908878349,0.06279160186625195
stability,H1_TABULAR_RESIDUAL_EXPERT,1,1201,1,L1_LATE_75PCT,0.06929558515548706,7.450580596923828e-09,0.8553902506828308,1.8858847618103027,0.9101517696210825,0.02883435582822086
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,0,E1_EARLY_20PCT,0.06460313498973846,7.450580596923828e-09,0.39188721776008606,0.7387104034423828,0.7243617560224841,0.08830980817951502
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,0,E2_EARLY_35PCT,0.06460313498973846,7.450580596923828e-09,0.4992900490760803,1.0196903944015503,0.76523021877674,0.06789890607317993
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,0,M1_MIDDLE_FROZEN,0.06460313498973846,7.450580596923828e-09,0.5864813327789307,1.4362539052963257,0.7948824208891397,0.053073170731707316
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,0,L1_LATE_75PCT,0.06460312753915787,0.0,0.6614007949829102,1.9222936630249023,0.8514847469330102,0.027720739219712527
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,1,E1_EARLY_20PCT,0.07294749468564987,0.0,0.5307868719100952,0.6618800163269043,0.5103215408887104,0.171733622873688
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,1,E2_EARLY_35PCT,0.07294749468564987,0.0,0.6952793002128601,0.8769757747650146,0.6642637209196263,0.12635716959940096
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,1,M1_MIDDLE_FROZEN,0.07294749468564987,0.0,0.8679444193840027,1.2879265546798706,0.7796515578058328,0.06434681181959565
stability,H1_TABULAR_RESIDUAL_EXPERT,1,2026,1,L1_LATE_75PCT,0.07294749468564987,0.0,1.0503722429275513,1.7993099689483643,0.8636961132690515,0.027607361963190184
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,0,E1_EARLY_20PCT,0.0709986463189125,7.450580596923828e-09,0.6212076544761658,0.6580567359924316,0.6807455262587901,0.21099419448476053
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,0,E2_EARLY_35PCT,0.0709986463189125,7.450580596923828e-09,0.7575953602790833,0.8091863989830017,0.7540078207553255,0.134001134001134
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,0,M1_MIDDLE_FROZEN,0.07099863886833191,0.0,0.9973422884941101,1.0875518321990967,0.8404916710207485,0.07026815423761988
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,0,L1_LATE_75PCT,0.0709986463189125,7.450580596923828e-09,1.2021251916885376,1.388339877128601,0.9227035503676545,0.02277390233894132
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,1,E1_EARLY_20PCT,0.0763498991727829,7.450580596923828e-09,0.5905194878578186,0.4377824366092682,0.6377090477985919,0.17008159564823208
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,1,E2_EARLY_35PCT,0.0763498991727829,7.450580596923828e-09,0.7849161624908447,0.6273988485336304,0.7828303179074557,0.1256120527306968
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,1,M1_MIDDLE_FROZEN,0.0763498991727829,7.450580596923828e-09,1.0906314849853516,0.9068582653999329,0.8641084225204011,0.0798828125
stability,H1_TABULAR_RESIDUAL_EXPERT,2,1201,1,L1_LATE_75PCT,0.0763498991727829,7.450580596923828e-09,1.4454143047332764,1.2290288209915161,0.930940470824619,0.03186677631578947
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,0,E1_EARLY_20PCT,0.07040136307477951,7.450580596923828e-09,0.4193589985370636,0.5824783444404602,0.6267746453278193,0.1328011611030479
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,0,E2_EARLY_35PCT,0.07040136307477951,7.450580596923828e-09,0.6330704092979431,0.7873212695121765,0.7085388160932218,0.09657909657909658
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,0,M1_MIDDLE_FROZEN,0.07040136307477951,7.450580596923828e-09,0.912667453289032,1.1549004316329956,0.8213127653703123,0.05343511450381679
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,0,L1_LATE_75PCT,0.07040136307477951,7.450580596923828e-09,1.1395981311798096,1.5867674350738525,0.9117803844266631,0.03282724661469019
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,1,E1_EARLY_20PCT,0.07344945520162582,0.0,0.5713223218917847,0.5713635087013245,0.5865256430998851,0.16681776971894832
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,1,E2_EARLY_35PCT,0.07344944775104523,7.450580596923828e-09,0.7210407257080078,0.7331324815750122,0.7067219197819786,0.12768361581920903
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,1,M1_MIDDLE_FROZEN,0.07344944775104523,7.450580596923828e-09,0.9478496313095093,0.9480352401733398,0.8019614525644279,0.077734375
stability,H1_TABULAR_RESIDUAL_EXPERT,2,2026,1,L1_LATE_75PCT,0.07344944775104523,7.450580596923828e-09,1.2323963642120361,1.2382885217666626,0.8853099509646343,0.042146381578947366
distillation_stability,H2_MLP_DISTILLED_HYBRID,0,1201,0,E1_EARLY_20PCT,0.06778253614902496,7.450580596923828e-09,0.4706152081489563,0.6968755125999451,0.6693880139902835,0.13478260869565217
distillation_stability,H2_MLP_DISTILLED_HYBRID,0,1201,0,E2_EARLY_35PCT,0.06778253614902496,7.450580596923828e-09,0.5846328139305115,0.9753539562225342,0.8012316349490327,0.08993414863593603
distillation_stability,H2_MLP_DISTILLED_HYBRID,0,1201,0,M1_MIDDLE_FROZEN,0.06778254359960556,0.0,0.6967949867248535,1.3168988227844238,0.8803370864162484,0.05281621516273631
