candidate,outer_fold,seed,stage,brier,ece,macro_f1,nll,pr_auc,roc_auc,threshold
M0_MLP,0,1201,M1_MIDDLE_FROZEN,0.13753557786480416,0.026525666484847606,0.7932611650516185,0.4267969572975966,0.8520932082807481,0.8652975704813886,0.5211058928607643
M0_MLP,0,2026,E1_EARLY_20PCT,0.19584236152205425,0.059860280714224126,0.7042903085397776,0.5905802435586377,0.7493226562336022,0.7617557059215138,0.4958121110430625
M0_MLP,0,2026,E2_EARLY_35PCT,0.16973703034776538,0.03867215720827258,0.7362438242553531,0.516683773673954,0.7981580861360144,0.8125501855132207,0.48103723878600385
M0_MLP,0,2026,L1_LATE_75PCT,0.10428333532324317,0.03691029206883122,0.8476234994442501,0.3407197769160321,0.897500398824127,0.9098550474832366,0.5948912402541096
M0_MLP,0,2026,M1_MIDDLE_FROZEN,0.139635858158991,0.03972251316870678,0.7883612193995783,0.43362709913579056,0.8507646729980249,0.8628380294520711,0.533414048856053
M0_MLP,1,1201,E1_EARLY_20PCT,0.1936589320844119,0.04924346309819197,0.7004242603259854,0.5755175591751875,0.7495125550815329,0.7668738580414223,0.5144577770178456
M0_MLP,1,1201,E2_EARLY_35PCT,0.16667956682798682,0.029840785418031243,0.7434668809781282,0.5036015444294886,0.801163677299289,0.8179934579404029,0.46952781798648613
M0_MLP,1,1201,L1_LATE_75PCT,0.09924507796537918,0.022182467524384044,0.8511426389394943,0.32390446062291084,0.9025853405825432,0.9144277170267394,0.4887843656797716
M0_MLP,1,1201,M1_MIDDLE_FROZEN,0.13771223605758148,0.02923458395496341,0.7883965422959613,0.4258758236930345,0.8520910177172845,0.8643702789673764,0.40747286739444544
M0_MLP,1,2026,E1_EARLY_20PCT,0.18963806320598198,0.03892302299411038,0.709314711800213,0.5668957242867101,0.7556066942448811,0.7749518976539471,0.5031435789686588
M0_MLP,1,2026,E2_EARLY_35PCT,0.16299842925037059,0.026686042557256668,0.745087270800432,0.4960617092585852,0.8077298591188637,0.8241821845675176,0.47978739845638574
M0_MLP,1,2026,L1_LATE_75PCT,0.09799614641601231,0.019990899719401805,0.8526980110005609,0.32209438426756026,0.9039269208368421,0.9167286204374074,0.5083594157221071
M0_MLP,1,2026,M1_MIDDLE_FROZEN,0.13497496071821954,0.028859897397104678,0.791089766260618,0.42227959680425475,0.8560223564076137,0.8701033231259232,0.3999887990541362
M0_MLP,2,1201,E1_EARLY_20PCT,0.20959165210002217,0.09475674855049891,0.6851106342999735,0.6491579197375397,0.715820775853883,0.746629433499634,0.43831525313822767
M0_MLP,2,1201,E2_EARLY_35PCT,0.17693831049954478,0.07113145586706776,0.732506730624735,0.546642166724394,0.7826222714138741,0.8039450502618537,0.42085972809416056
M0_MLP,2,1201,L1_LATE_75PCT,0.10298330929292626,0.03738873256354605,0.8484315788885676,0.35055379508278023,0.8942946220668846,0.9067764266448797,0.4829286021849655
M0_MLP,2,1201,M1_MIDDLE_FROZEN,0.14423905940737194,0.05580286372605892,0.7825022949347147,0.46404465158559816,0.8394317103408877,0.8541268975711234,0.3908072696956909
M0_MLP,2,2026,E1_EARLY_20PCT,0.19340755092640344,0.046420592517079175,0.7015362423365725,0.5803443472351533,0.7476954238493542,0.7667580969284306,0.48233808793095817
M0_MLP,2,2026,E2_EARLY_35PCT,0.16706139792111316,0.03448279106246407,0.7413481156065009,0.507823680161016,0.7997060179831497,0.8143857714433002,0.42430463069713903
M0_MLP,2,2026,L1_LATE_75PCT,0.10024785620972812,0.030099377710587887,0.8484234486405493,0.33226756131380497,0.8988193247566214,0.9123634121512395,0.4493043953889578
M0_MLP,2,2026,M1_MIDDLE_FROZEN,0.13687059925475833,0.030737398912129437,0.7899712542531971,0.4271174857442326,0.8506074260151686,0.8652045873814145,0.4798860307657718
