candidate_id,seed,outer_fold,class_label,precision,recall,f1,support
M1,155,3,1,0.9310344827586207,0.8709677419354839,0.9,31
M1,155,3,2,1.0,0.8181818181818182,0.9,11
M1,155,4,0,0.875,0.7,0.7777777777777778,20
M1,155,4,1,0.8285714285714286,0.9354838709677419,0.8787878787878788,31
M1,155,4,2,1.0,1.0,1.0,12
M2,42,0,0,0.8181818181818182,0.8571428571428571,0.8372093023255814,21
M2,42,0,1,0.9,0.8709677419354839,0.8852459016393442,31
M2,42,0,2,1.0,1.0,1.0,12
M2,42,1,0,0.8888888888888888,0.7619047619047619,0.8205128205128205,21
M2,42,1,1,0.8,0.9333333333333333,0.8615384615384616,30
M2,42,1,2,1.0,0.8333333333333334,0.9090909090909091,12
M2,42,2,0,0.8947368421052632,0.8095238095238095,0.85,21
M2,42,2,1,0.8235294117647058,0.9032258064516129,0.8615384615384616,31
M2,42,2,2,0.9,0.8181818181818182,0.8571428571428571,11
M2,42,3,0,0.875,1.0,0.9333333333333333,21
M2,42,3,1,0.9333333333333333,0.9032258064516129,0.9180327868852459,31
M2,42,3,2,1.0,0.8181818181818182,0.9,11
M2,42,4,0,0.8181818181818182,0.9,0.8571428571428571,20
M2,42,4,1,0.9,0.8709677419354839,0.8852459016393442,31
M2,42,4,2,1.0,0.9166666666666666,0.9565217391304348,12
M2,123,0,0,0.8181818181818182,0.8571428571428571,0.8372093023255814,21
M2,123,0,1,0.9,0.8709677419354839,0.8852459016393442,31
M2,123,0,2,1.0,1.0,1.0,12
M2,123,1,0,0.8888888888888888,0.7619047619047619,0.8205128205128205,21
M2,123,1,1,0.8,0.9333333333333333,0.8615384615384616,30
M2,123,1,2,1.0,0.8333333333333334,0.9090909090909091,12
M2,123,2,0,0.8947368421052632,0.8095238095238095,0.85,21
M2,123,2,1,0.8235294117647058,0.9032258064516129,0.8615384615384616,31
M2,123,2,2,0.9,0.8181818181818182,0.8571428571428571,11
M2,123,3,0,0.875,1.0,0.9333333333333333,21
M2,123,3,1,0.9333333333333333,0.9032258064516129,0.9180327868852459,31
M2,123,3,2,1.0,0.8181818181818182,0.9,11
M2,123,4,0,0.8181818181818182,0.9,0.8571428571428571,20
M2,123,4,1,0.9,0.8709677419354839,0.8852459016393442,31
M2,123,4,2,1.0,0.9166666666666666,0.9565217391304348,12
M2,155,0,0,0.8181818181818182,0.8571428571428571,0.8372093023255814,21
M2,155,0,1,0.9,0.8709677419354839,0.8852459016393442,31
M2,155,0,2,1.0,1.0,1.0,12
M2,155,1,0,0.8888888888888888,0.7619047619047619,0.8205128205128205,21
M2,155,1,1,0.8,0.9333333333333333,0.8615384615384616,30
M2,155,1,2,1.0,0.8333333333333334,0.9090909090909091,12
M2,155,2,0,0.8947368421052632,0.8095238095238095,0.85,21
