domain,model,fold,seed,stage,n_models,accuracy,risk_precision,risk_f1,ap,roc_auc,risk_recall,recall_at_20,threshold,n,prevalence
uci,RF,1,2026,S1,1,0.8626609442060086,0.7674418604651163,0.673469387755102,0.6941871868989086,0.9309499489274771,0.6,0.6545454545454545,0.71,233,0.23605150214592274
uci,RF,1,2026,S2,1,0.8927038626609443,0.7205882352941176,0.7967479674796748,0.8703469193559116,0.9592441266598569,0.8909090909090909,0.6909090909090909,0.57,233,0.23605150214592274
uci,SVM,1,2026,S0,1,0.6609442060085837,0.34210526315789475,0.3969465648854962,0.3233544784550625,0.629826353421859,0.4727272727272727,0.2909090909090909,0.46,233,0.23605150214592274
uci,SVM,1,2026,S1,1,0.8283261802575107,0.6,0.6923076923076923,0.6931683143322461,0.8881511746680286,0.8181818181818182,0.6,0.29,233,0.23605150214592274
uci,SVM,1,2026,S2,1,0.8626609442060086,0.6533333333333333,0.7538461538461538,0.8201754829205601,0.9271705822267621,0.8909090909090909,0.6727272727272727,0.15,233,0.23605150214592274
uci,XGB,1,2026,S0,1,0.7339055793991416,0.4578313253012048,0.5507246376811594,0.45410944555893584,0.7642492339121553,0.6909090909090909,0.4727272727272727,0.35,233,0.23605150214592274
uci,XGB,1,2026,S1,1,0.8454935622317596,0.6792452830188679,0.6666666666666666,0.7533861329460994,0.9189989785495404,0.6545454545454545,0.6363636363636364,0.56,233,0.23605150214592274
uci,XGB,1,2026,S2,1,0.8798283261802575,0.7368421052631579,0.75,0.869269629085004,0.9542390194075587,0.7636363636363637,0.6909090909090909,0.55,233,0.23605150214592274
uci,CatBoost,1,2026,S0,1,0.7682403433476395,0.5151515151515151,0.38636363636363635,0.45174606942091783,0.7397344228804903,0.3090909090909091,0.41818181818181815,0.6,233,0.23605150214592274
uci,CatBoost,1,2026,S1,1,0.8540772532188842,0.8181818181818182,0.6136363636363636,0.7007246407132144,0.9293156281920326,0.4909090909090909,0.6727272727272727,0.72,233,0.23605150214592274
