domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
oulad,RF,1,1201,35pct,0.8035439225102952,0.8260810609439413,0.7017684887459807,0.7684859154929577,0.4441021126760563,5651,0.40205273402937536,1,True
oulad,RF,1,1201,50pct,0.8486940227634663,0.8708812619431227,0.7331578947368421,0.6785192401363858,0.4973209936678032,5433,0.3778759433094055,1,True
oulad,RF,1,1201,75pct,0.8934208474859948,0.914285299918784,0.7907881933181966,0.7029988465974625,0.5818915801614764,5114,0.33906922174423154,1,True
oulad,RF,1,1201,100pct,0.9219578855276055,0.9387889570959775,0.8371467025572006,0.776044915782907,0.6219588271990019,4983,0.3216937587798515,1,True
oulad,SVM,1,1201,20pct,0.7461442993351741,0.7784450975228467,0.6778662971943193,0.7716876971608833,0.3805205047318612,5914,0.4288129861345959,1,True
oulad,SVM,1,1201,35pct,0.800944761578996,0.8279579444706118,0.7040773434216057,0.7372359154929577,0.4410211267605634,5651,0.40205273402937536,1,True
oulad,SVM,1,1201,50pct,0.8424983692277926,0.8706362748121526,0.7319148936170212,0.7121285923039454,0.4909887968826108,5433,0.3778759433094055,1,True
oulad,SVM,1,1201,75pct,0.8867670116592116,0.9113547019921786,0.7798045602605863,0.6903114186851211,0.5778546712802768,5114,0.33906922174423154,1,True
oulad,SVM,1,1201,100pct,0.9128050862893702,0.9291753258498304,0.8311513930849278,0.7723019338739863,0.6200873362445415,4983,0.3216937587798515,1,True
oulad,XGB,1,1201,20pct,0.7705663322756344,0.7946515120103546,0.6882115313991921,0.7389589905362776,0.39589905362776023,5914,0.4288129861345959,1,True
oulad,XGB,1,1201,35pct,0.8061681859947425,0.8297734114810199,0.6983917162370566,0.6976232394366197,0.4414612676056338,5651,0.40205273402937536,1,True
oulad,XGB,1,1201,50pct,0.8520979029325468,0.874570551970417,0.7350206611570248,0.6931320019483682,0.5007306380905991,5433,0.3778759433094055,1,True
