domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
uci,LR,1,42,S1,0.7496185999093763,0.904187946884576,0.7014925373134329,0.8545454545454545,0.6181818181818182,233,0.23605150214592274,1,True
uci,LR,1,42,S2,0.8984159067102045,0.959244126659857,0.7964601769911505,0.8181818181818182,0.7272727272727273,233,0.23605150214592274,1,True
uci,DT,1,42,S0,0.4619494069253872,0.7620020429009192,0.4842105263157895,0.8363636363636363,0.45454545454545453,233,0.23605150214592274,1,True
uci,DT,1,42,S1,0.7569293005777741,0.9242083758937693,0.7358490566037735,0.7090909090909091,0.6545454545454545,233,0.23605150214592274,1,True
uci,DT,1,42,S2,0.8321756718535571,0.9398365679264556,0.7358490566037735,0.7090909090909091,0.6727272727272727,233,0.23605150214592274,1,True
uci,RF,1,42,S0,0.47333062405584836,0.7920326864147089,0.5340909090909091,0.8545454545454545,0.41818181818181815,233,0.23605150214592274,1,True
uci,RF,1,42,S1,0.6989392959138077,0.930949948927477,0.7238095238095238,0.6909090909090909,0.6727272727272727,233,0.23605150214592274,1,True
uci,RF,1,42,S2,0.8683587665283308,0.9591419816138917,0.7216494845360825,0.6363636363636364,0.7090909090909091,233,0.23605150214592274,1,True
uci,SVM,1,42,S0,0.3233544784550625,0.629826353421859,0.3969465648854962,0.4727272727272727,0.2909090909090909,233,0.23605150214592274,1,True
uci,SVM,1,42,S1,0.6931683143322461,0.8881511746680286,0.6923076923076923,0.8181818181818182,0.6,233,0.23605150214592274,1,True
uci,SVM,1,42,S2,0.8201754829205601,0.9271705822267621,0.7538461538461538,0.8909090909090909,0.6727272727272727,233,0.23605150214592274,1,True
uci,XGB,1,42,S0,0.4228585032892478,0.7525025536261492,0.5290322580645161,0.7454545454545455,0.41818181818181815,233,0.23605150214592274,1,True
uci,XGB,1,42,S1,0.7438567739313463,0.9182839632277835,0.672,0.7636363636363637,0.6,233,0.23605150214592274,1,True
uci,XGB,1,42,S2,0.8703647228818875,0.9541368743615934,0.7543859649122807,0.7818181818181819,0.6909090909090909,233,0.23605150214592274,1,True
uci,CatBoost,1,42,S0,0.423142369606009,0.743003064351379,0.5031446540880503,0.7272727272727273,0.41818181818181815,233,0.23605150214592274,1,True
uci,CatBoost,1,42,S1,0.7124724316488502,0.9231869254341164,0.6458333333333334,0.5636363636363636,0.6545454545454545,233,0.23605150214592274,1,True
uci,CatBoost,1,42,S2,0.8165521821091133,0.94902962206333,0.7692307692307693,0.7272727272727273,0.6909090909090909,233,0.23605150214592274,1,True
uci,MLP,1,42,S0,0.42103536060028324,0.6660878447395301,0.4520547945205479,0.6,0.4,233,0.23605150214592274,1,True
uci,MLP,1,42,S1,0.6522928477909625,0.8667007150153219,0.6238532110091743,0.6181818181818182,0.6,233,0.23605150214592274,1,True
