candidate,seed,records,threshold,threshold_scope,macro_f1,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,pr_auc,brier,nll,ece,confusion_matrix,roc_auc,recall_at_10_percent
C2_cnn_d2_temporal,2026,10258,0.49500000000000005,global,0.8191837486520642,0.8124603727849555,0.834180790960452,0.7202439024390244,0.7730366492146596,0.8824171560031182,0.12100589100840768,0.38042482092729085,0.01627976073035314,"[[5571, 587], [1147, 2953]]",0.895940893860059,0.2497560975609756
C2_cnn_d2_temporal,3407,10258,0.49000000000000005,global,0.8238214360274019,0.8180732974754237,0.8303080308030804,0.7363414634146341,0.7805067218200621,0.8867683017493986,0.11832612909805201,0.3737007241618385,0.013994436818658928,"[[5541, 617], [1081, 3019]]",0.9000112485048204,0.24926829268292683
C3_cnn_multidilation_temporal,42,10258,0.4650000000000001,global,0.8204057835669847,0.8184995524362519,0.7965072133637054,0.7675609756097561,0.7817662402186064,0.8784075837054315,0.12249235872014948,0.39007388838048157,0.026050422547450842,"[[5354, 804], [953, 3147]]",0.8948367580541672,0.2475609756097561
C3_cnn_multidilation_temporal,2026,10258,0.44500000000000006,global,0.820732788413634,0.8162923898319854,0.8156558909965268,0.7446341463414634,0.7785286242509244,0.8841913968242694,0.11962157559057839,0.37707492234525125,0.010139784473707203,"[[5468, 690], [1047, 3053]]",0.8981788116192302,0.2497560975609756
C3_cnn_multidilation_temporal,3407,10258,0.49500000000000005,global,0.8232288077957175,0.8147259167135354,0.8571006790670209,0.7080487804878048,0.7754774943234941,0.882872439248443,0.11966883635366313,0.3793757742308117,0.011413382793284427,"[[5674, 484], [1197, 2903]]",0.8984070295233645,0.24926829268292683
D_serial_with_cnn_skip,42,10258,0.4650000000000001,global,0.8280431380443918,0.8225851757380841,0.8326063249727372,0.7448780487804878,0.786302780638517,0.8903927073225218,0.11608883049170338,0.36764808109116154,0.015146420207974971,"[[5544, 614], [1046, 3054]]",0.9037545053430398,0.24926829268292683
D_serial_with_cnn_skip,2026,10258,0.4750000000000001,global,0.8250368205179608,0.8194965898018838,0.8298687089715536,0.74,0.7823620422898401,0.8872338836616716,0.1178221119521377,0.3718375726410836,0.015261059496653438,"[[5536, 622], [1066, 3034]]",0.9014855551770847,0.24926829268292683
D_serial_with_cnn_skip,3407,10258,0.5700000000000001,global,0.8276164097561498,0.8217296160457545,0.8358578903883228,0.7402439024390244,0.7851506920191437,0.8893746399671008,0.1200938239511555,0.38059700076805325,0.041445347238339286,"[[5562, 596], [1065, 3035]]",0.903966068330706,0.24926829268292683
E_parallel_concat,42,10258,0.49000000000000005,global,0.8286790415913442,0.8226635191977123,0.8382109331860851,0.7404878048780488,0.7863247863247863,0.8867355276198421,0.11861503089432399,0.3776689454567369,0.026466602443207712,"[[5572, 586], [1064, 3036]]",0.8981556016761857,0.24902439024390244
E_parallel_concat,2026,10258,0.4750000000000001,global,0.8282397461544655,0.8231968329913893,0.8293275722387253,0.7490243902439024,0.7871331539151608,0.8877708209027432,0.11874342690824916,0.377926940577579,0.02642893305500116,"[[5526, 632], [1029, 3071]]",0.9019816776115147,0.24951219512195122
E_parallel_concat,3407,10258,0.5,global,0.8261702604341785,0.8214512947662767,0.8242554333243896,0.7492682926829268,0.7849750862399387,0.8876670828691251,0.11819712493016898,0.3735951450398885,0.022537218908864485,"[[5503, 655], [1028, 3072]]",0.902170109870959,0.24902439024390244
