interactions,learning_rate,max_bins,max_rounds,min_samples_leaf,config_id,ndcg_at_3,exact_best_top1,pairwise_accuracy,query_count,elapsed_seconds
3,0.01,64,2000,2,14f90b3f7b14,0.9724433538102513,0.8033333333333333,0.8619447779111644,300,53.52113223075867
3,0.025,64,2000,2,a7ca85aa3d3b,0.9724315522877752,0.8066666666666666,0.8632273545290942,300,39.18822884559631
3,0.01,64,5000,2,c8e062474850,0.9724305143370237,0.8066666666666666,0.8614277144571085,300,71.88876128196716
3,0.01,64,10000,2,3b0d5179fc30,0.9724089626189736,0.8066666666666666,0.8608278344331134,300,81.38162589073181
3,0.01,64,10000,10,686a65ace2a3,0.9724016363808077,0.8,0.8632273545290942,300,105.95830154418945
10,0.025,64,10000,20,2eee31389498,0.9723942053060471,0.81,0.8573141486810552,300,211.4185025691986
3,0.025,64,5000,20,c0867704460a,0.9723806092839989,0.8033333333333333,0.8526063511084482,300,61.23232388496399
10,0.025,128,5000,20,58e21d020761,0.9723760797553227,0.81,0.853629274145171,300,114.28286361694336
10,0.025,128,10000,20,4fce7cedc46f,0.9723760797553227,0.81,0.853629274145171,300,114.2814154624939
10,0.025,128,2000,20,2525b8bddc84,0.9723685763389996,0.8066666666666666,0.8535414165666266,300,95.31097221374512
3,0.01,128,2000,2,bc93a4a8a052,0.9723651313747144,0.79,0.859375,300,62.2982075214386
5,0.05,128,2000,10,dbcb8be9be38,0.9723626763209378,0.81,0.8519184652278178,300,51.50567579269409
5,0.05,128,5000,10,e98cd6563494,0.9723626763209378,0.81,0.8519184652278178,300,58.31825923919678
5,0.05,128,10000,10,d89f88382d81,0.9723626763209378,0.81,0.8519184652278178,300,57.91667699813843
3,0.05,256,10000,5,7c926ae0ae74,0.9723519425961242,0.8066666666666666,0.8553421368547419,300,66.24129438400269
3,0.025,128,2000,2,426318e01200,0.9723502082543943,0.7933333333333333,0.8553421368547419,300,52.681655406951904
5,0.025,64,2000,10,23b1cb652e17,0.9723495332432541,0.8133333333333334,0.8616766467065868,300,60.7457971572876
5,0.01,64,2000,20,252c65b968f0,0.9723444789424082,0.8033333333333333,0.8578284343131374,300,68.83957052230835
5,0.01,256,2000,2,fdd39d7fa71d,0.9723411955227861,0.8033333333333333,0.8569711538461539,300,83.49912881851196
5,0.025,64,5000,10,bb9e86f4f011,0.9723374448952078,0.8133333333333334,0.8604790419161676,300,85.27340912818909
5,0.025,64,10000,10,74ddfdd0739d,0.9723374448952078,0.8133333333333334,0.8604790419161676,300,120.14333581924438
10,0.025,128,2000,2,175e438cfb30,0.9723294072738632,0.8033333333333333,0.8567146282973621,300,113.82835817337036
10,0.025,128,5000,2,806b584d1d3b,0.9723294072738632,0.8033333333333333,0.8567146282973621,300,132.64611506462097
10,0.025,128,10000,2,13f321d66a52,0.9723294072738632,0.8033333333333333,0.8567146282973621,300,133.83203315734863
