model_id,model_family,prediction_stage,cohort,common_base_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
logistic_regression_oulad,logistic_regression,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.745778932257844,0.7038484481210754,0.7310556375586295,0.7038484481210754,0.7114785480212322,0.7378838596768158,0.696343779677113,0.5458775358272846,0.6119979134063641,0.7657674954401459,0.8618193604148661,0.8109591826361002,0.8618193604148661,0.7137965848484216,0.7823226539561021,0.19051782543694598,0.5619829447357799,0.11754172089807596,7977,1279,2440,2933,14629,5373,9256,1.0
logistic_regression_oulad,logistic_regression,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7739421696629981,0.7465216097774959,0.7586066677019259,0.7465216097774959,0.7513455122717421,0.7712418434849502,0.7131654973173751,0.6432160804020101,0.6763871220275957,0.8040478380864765,0.8498271391529818,0.8263039025158885,0.8498271391529818,0.7834694408045263,0.829634393115422,0.16940779873206094,0.5097556687049978,0.12039759833825434,7866,1390,1917,3456,14629,5373,9256,1.0
logistic_regression_oulad,logistic_regression,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8355321621436872,0.8320063938888398,0.8218545366381541,0.8320063938888398,0.8259941999539879,0.8368076035109521,0.7544160521351397,0.8187232458589242,0.785255265976437,0.8892930211411685,0.8452895419187554,0.8667331339315387,0.8452895419187554,0.900091805766096,0.9134348758099535,0.10221816646974743,0.3290472690726884,0.03510593245206941,7824,1432,974,4399,14629,5373,9256,1.0
logistic_regression_oulad,logistic_regression,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.802515551302208,0.7884257972374115,0.7874276242727261,0.7884257972374115,0.7879178389709697,0.802686707387384,0.729235880398671,0.7353433835845896,0.7322768974145121,0.8456193681467811,0.8415082108902333,0.8435587805274273,0.8415082108902333,0.8414188842729278,0.869791392700884,0.13655770046880678,0.42379727000469103,0.07135359744236,7789,1467,1422,3951,14629,5373,9256,1.0
mlp_oulad,mlp,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7493335156196596,0.7005673735848486,0.7404398036238775,0.7005673735848486,0.709654680322804,0.7381444949414597,0.7216735966735967,0.5168434766424717,0.6023207895022232,0.7592060105741583,0.8842912705272256,0.8169885711433847,0.8842912705272256,0.7275969161131886,0.7883654644424787,0.17519375642891627,0.5261078986011536,0.05399124962314079,8185,1071,2596,2777,14629,5373,9256,1.0
mlp_oulad,mlp,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7846059197484448,0.7514350780117818,0.7740008532608302,0.7514350780117818,0.7592687136268536,0.7799986696677593,0.7463414634146341,0.626465661641541,0.6811696853182232,0.8016602431070264,0.8764044943820225,0.8373677419354839,0.8764044943820225,0.7994779889636828,0.8379716594914777,0.14922622417475953,0.45741475626285705,0.035464888457310065,8112,1144,2007,3366,14629,5373,9256,1.0
mlp_oulad,mlp,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8351903752819742,0.8363819240251966,0.8219422947874326,0.8363819240251966,0.8270056720949742,0.8369934792838871,0.743826144221271,0.8408710217755444,0.7893771293788766,0.9000584453535944,0.8318928262748487,0.8646342148110718,0.8318928262748487,0.9075519249519307,0.9210094214470026,0.09519885850784399,0.30934393842887287,0.0089131172065605,7700,1556,855,4518,14629,5373,9256,1.0
mlp_oulad,mlp,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.8070954952491626,0.791771799150688,0.7926018690658567,0.791771799150688,0.7921810762979622,0.8069584911455028,0.7389919430391606,0.7340405732365531,0.7365079365079366,0.8462117950925527,0.8495030250648228,0.8478542160879879,0.8495030250648228,0.8521838318185422,0.8763107930574476,0.12605699125548706,0.39454341986484587,0.01781677873857832,7863,1393,1429,3944,14629,5373,9256,1.0
random_forest_oulad,random_forest,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.744206712693964,0.7004198342138042,0.7301071713568478,0.7004198342138042,0.7082930192798941,0.7354609272336898,0.6977928692699491,0.5354550530429928,0.6059393428812131,0.7624214734437464,0.8653846153846154,0.8106466956785751,0.8653846153846154,0.7203635725725823,0.7856998025113885,0.18041726865489383,0.5390038425768559,0.08072324763605787,8010,1246,2496,2877,14629,5373,9256,1.0
random_forest_oulad,random_forest,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7759245334609337,0.7472293061227904,0.7613653475753765,0.7472293061227904,0.7527008666355266,0.7728163023444394,0.7194636496962078,0.6391215335938955,0.6769170116301991,0.8032670454545454,0.8553370786516854,0.828484721640854,0.8553370786516854,0.7930118122597765,0.8333147840904319,0.155180314883433,0.4735516854041972,0.06555805890874186,7917,1339,1939,3434,14629,5373,9256,1.0
