model_id,model_family,prediction_stage,threshold_policy,class_name,outer_fold,precision,recall,f1,support
random_forest_oulad,random_forest,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7571149633969773,0.8555182210314672,0.8032585705707409,3086.3333333333335
random_forest_oulad,random_forest,L1_LATE_75PCT,FIXED_0_5,At-risk,1.0,0.9157831778860256,0.7044981709976067,0.7962605625403576,1791.6666666666667
random_forest_oulad,random_forest,L1_LATE_75PCT,FIXED_0_5,Not-at-risk,1.0,0.848744323524418,0.9624244264907583,0.9019909077442501,3086.6666666666665
random_forest_oulad,random_forest,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7611872987712193,0.8219816522471879,0.7903883865372897,1791.6666666666667
random_forest_oulad,random_forest,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8916483388146604,0.8503300974879457,0.8704875987721494,3086.6666666666665
random_forest_oulad,random_forest,M1_MIDDLE_FROZEN,FIXED_0_5,At-risk,1.0,0.8415934638827398,0.6435651057778816,0.7293303424084924,2039.3333333333333
random_forest_oulad,random_forest,M1_MIDDLE_FROZEN,FIXED_0_5,Not-at-risk,1.0,0.7961926733930907,0.9199857618774603,0.8536067454334463,3086.6666666666665
random_forest_oulad,random_forest,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.756357550985237,0.7324780146906313,0.7441383057526805,2039.3333333333333
random_forest_oulad,random_forest,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8268711254274459,0.8440846451410499,0.8353485438180014,3086.6666666666665
svm_oulad,svm,E1_EARLY_20PCT,FIXED_0_5,At-risk,1.0,0.7032915619306018,0.6272555395701791,0.6630211612696747,2436.6666666666665
svm_oulad,svm,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.72880104007268,0.7909739203270655,0.7585720771574908,3085.3333333333335
svm_oulad,svm,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7486956417590546,0.5489731229286207,0.6334436919750225,2436.6666666666665
svm_oulad,svm,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7057922743236135,0.8544858421401608,0.7730431804678354,3085.3333333333335
svm_oulad,svm,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.7490366700789721,0.6449260585828176,0.6929999896367228,2229.0
svm_oulad,svm,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.766976803894479,0.8439546464313622,0.8035831548947097,3086.3333333333335
svm_oulad,svm,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7592278908869098,0.6323772149866403,0.6898665961271394,2229.0
svm_oulad,svm,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7630954253122352,0.8550916397551367,0.8064133907361549,3086.3333333333335
