model_family,outer_fold,prediction_stage,threshold_policy,threshold,status,source
mlp,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2719495778061649,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3949999999999999,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
mlp,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5710100188676035,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4990455828440922,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2518413952844394,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3909241841328633,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,1.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
mlp,2.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5575275545917949,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,2.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,2.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4820317259110812,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,2.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,2.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2568424720013514,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,2.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
mlp,2.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.381752775625139,PRECISION_CONSTRAINT_MET,pooled_inner_oof
mlp,2.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
random_forest,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5429920102775946,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4911058745511912,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.3259362294576406,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4061302190599968,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
random_forest,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5514540884706234,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4990953848787189,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.3171207557031719,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4007740257357271,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,1.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
random_forest,2.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.53845359082696,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,2.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,2.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4959582078798641,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,2.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,2.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.3166333030140531,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,2.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
random_forest,2.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4067560826369103,PRECISION_CONSTRAINT_MET,pooled_inner_oof
random_forest,2.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
xgboost,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5171389579772949,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.446447342634201,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2810201942920685,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3694896697998047,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
xgboost,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.524095892906189,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4581621885299682,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2649493813514709,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3673458397388458,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,1.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
xgboost,2.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.5146003365516663,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,2.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,2.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.4587222635746002,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,2.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,2.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.264488935470581,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,2.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
xgboost,2.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.3658668398857116,PRECISION_CONSTRAINT_MET,pooled_inner_oof
xgboost,2.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
