prediction_stage,base_model_id,comparator_model_id,metric,delta,ci_95_low,ci_95_high,replicates,resampling_unit,conclusion
L1_LATE_75PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,macro_f1,-0.02215762472183904,-0.02675717785008868,-0.01752425053858117,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,risk_recall,0.023992822051631852,0.017831392031464766,0.030264301985874275,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,risk_f1,-0.019097046571623588,-0.024356294193024812,-0.01379978307571545,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,brier,0.0042708226795293725,0.0031208946016806874,0.0054794631886515375,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,hist_gradient_boosting_oulad,nll,0.014395769598975159,0.01110044791737028,0.017806454733496714,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,svm_oulad,macro_f1,-0.025597324398422897,-0.030166173637164152,-0.02085866008782199,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,svm_oulad,risk_recall,0.025093706805672283,0.019017462049525917,0.031391059886558555,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,svm_oulad,risk_f1,-0.02258337595755044,-0.027861033153625536,-0.017152042691425014,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,svm_oulad,brier,0.00018078273752589934,-0.0009340353486349199,0.0013151131675262799,5000,id_student,insufficient evidence of difference
L1_LATE_75PCT,cnn_bilstm_oulad,svm_oulad,nll,-0.012957574057127061,-0.016314271776896,-0.009519412112701348,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,xgboost_oulad,macro_f1,-0.0242987897179243,-0.028550967254094037,-0.019869519992588423,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,xgboost_oulad,risk_recall,0.022314507414326248,0.016685054650094264,0.0279212668837698,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,xgboost_oulad,risk_f1,-0.021581911544799246,-0.02643368927958225,-0.016653879652467223,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,xgboost_oulad,brier,0.00494656454102985,0.0038484368676462064,0.006065607951088339,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,xgboost_oulad,nll,0.016598060741436844,0.013578597830999985,0.01966777814497683,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,mlp_oulad,macro_f1,-0.020491961588162688,-0.02504645243474781,-0.015950644813930943,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,mlp_oulad,risk_recall,0.011711691123019253,0.005927820133734882,0.017563810093534752,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,mlp_oulad,risk_f1,-0.019038850120409876,-0.024297173591970693,-0.013826293495895441,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,mlp_oulad,brier,0.005301343224040407,0.004176183005400107,0.006448193676303064,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,mlp_oulad,nll,0.01721720227971372,0.013616917009256376,0.02076620780984665,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,cnn_only_oulad,macro_f1,0.0038004690548225158,0.0014171658796443582,0.006270604014512616,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,cnn_only_oulad,risk_recall,-0.004039476650746963,-0.007268017468031679,-0.0009188269241560067,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,cnn_only_oulad,risk_f1,0.003098723439631516,0.000465755024346326,0.005753058676631487,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,cnn_only_oulad,brier,-0.0005746167326412927,-0.0008787930538953992,-0.00027690660123450185,5000,id_student,CNN-BiLSTM higher
