dataset,task,stage,model,class_index,class_name,precision,recall,f1,support
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,1.0,Medium,0.6645962732919255,0.7679425837320574,0.7125416204217536,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,2.0,High,0.4042553191489361,0.2900763358778626,0.3377777777777778,131.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0.0,Low,0.4513888888888889,0.65,0.5327868852459017,100.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,1.0,Medium,0.7394957983193278,0.4210526315789473,0.5365853658536586,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,2.0,High,0.3408239700374532,0.6946564885496184,0.457286432160804,131.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,0.0,Low,0.3892617449664429,0.58,0.465863453815261,100.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,1.0,Medium,0.7307692307692307,0.2727272727272727,0.397212543554007,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,2.0,High,0.3052325581395348,0.8015267175572519,0.4421052631578947,131.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,0.0,Low,0.4444444444444444,0.2,0.2758620689655172,100.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,1.0,Medium,0.6597938144329897,0.9186602870813396,0.768,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,2.0,High,0.5454545454545454,0.0916030534351145,0.1568627450980392,131.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,random_forest,0.0,Low,0.4761904761904761,0.6,0.5309734513274337,100.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,random_forest,1.0,Medium,0.7566371681415929,0.4090909090909091,0.531055900621118,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,random_forest,2.0,High,0.3333333333333333,0.7557251908396947,0.4626168224299065,131.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,svm,0.0,Low,0.4,0.24,0.3,100.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,svm,1.0,Medium,0.6646942800788954,0.80622009569378,0.7286486486486486,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,svm,2.0,High,0.4146341463414634,0.2595419847328244,0.3192488262910798,131.0
