candidate_id,forecast_id,scope,seed,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-C0,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.48999999999999994,0.652159440483244,0.6549138124020596,0.667954383143985,0.5423728813559322,0.7268545140885566,0.6212065364295368,0.6090542521994134,0.7776737655043295,0.5531297882908932,0.7136511823797342,0.23285721389189531,0.689443968738936,0.13513575587609294,False,"[[3323, 2133], [950, 2528]]"
C-C0,F2_MIDDLE,future_presentation,42,8164,0.3317001469867712,0.5149999999999999,0.7472278884466661,0.7654336109750123,0.7613609290599808,0.6214395099540582,0.7492614475627769,0.679390590992801,0.7734604105571847,0.8614002857726066,0.7585525356332026,0.843363769292246,0.16878676995759145,0.5179519118333838,0.1245038112263172,False,"[[4220, 1236], [679, 2029]]"
C-C0,F3_LATE,future_presentation,42,7613,0.2833311440956259,0.595,0.8235261153188683,0.859056876395639,0.8182719734017458,0.765686274509804,0.7241539174779786,0.744341196092447,0.9123900293255132,0.8932352413421856,0.8516509680306703,0.9152140714879062,0.10695540828804864,0.3421819412886842,0.07700932042620139,False,"[[4978, 478], [595, 1562]]"
C-H0,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.49499999999999994,0.6709594226336444,0.6788672487127826,0.6777675320700371,0.5747973470891673,0.6728004600345026,0.6199496622069148,0.6827346041055719,0.7659880732058401,0.6677266038365056,0.7528258373960159,0.21412655103431955,0.6261748737185996,0.10202892827110478,False,"[[3725, 1731], [1138, 2340]]"
C-H0,F2_MIDDLE,future_presentation,42,8164,0.3317001469867712,0.48999999999999994,0.7663104710018236,0.7803772660460558,0.7869556424539867,0.63249348392702,0.8064992614475628,0.7089758156143483,0.7674120234604106,0.8887709615792825,0.8240014184476727,0.8743673708182989,0.14813817617938513,0.45145484325880275,0.1167392081207901,False,"[[4187, 1269], [524, 2184]]"
C-H0,F3_LATE,future_presentation,42,7613,0.2833311440956259,0.5449999999999999,0.8573871732507862,0.8878234598712729,0.8466111324107422,0.8359979370809696,0.75150672229949,0.79150390625,0.9417155425219942,0.9055340148043708,0.8906208476826692,0.9322390053117652,0.08485107108224894,0.2798718930810181,0.03540999796105756,False,"[[5138, 318], [536, 1621]]"
C-H1,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.49499999999999994,0.6519612239750421,0.6582717707633758,0.6608532434287411,0.5499647307782741,0.6725129384703853,0.6050963652826283,0.6491935483870968,0.7566759239478744,0.5417155737245726,0.7033858035595338,0.24329648929107972,0.7311153248533988,0.12281750995796721,False,"[[3542, 1914], [1139, 2339]]"
C-H1,F2_MIDDLE,future_presentation,42,8164,0.3317001469867712,0.48999999999999994,0.781037497769201,0.8031602155805977,0.7851229332443894,0.6924152394267739,0.731536189069424,0.711438319267373,0.8387096774193549,0.8629077880445031,0.820253860978261,0.8712412811285775,0.13724495386753788,0.4289444687844682,0.08346689410967637,False,"[[4576, 880], [727, 1981]]"
C-H1,F3_LATE,future_presentation,42,7613,0.2833311440956259,0.58,0.8456740759925669,0.8771837646131617,0.8389077894789794,0.8030753968253969,0.750579508576727,0.7759405703330937,0.9272360703812317,0.9038770770055387,0.8863431100449375,0.9326247778833695,0.0929716141201928,0.3024098181019934,0.06765700869788739,False,"[[5059, 397], [538, 1619]]"
C-H2,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.4699999999999999,0.6682861396134038,0.6708081486456234,0.6850849453371759,0.5574085952533675,0.749568717653824,0.6393623543838136,0.6206011730205279,0.7953958186516326,0.6206408232396947,0.7352140612800359,0.23599007779273026,0.708492198834296,0.15340910826686488,False,"[[3386, 2070], [871, 2607]]"
C-H2,F2_MIDDLE,future_presentation,42,8164,0.3317001469867712,0.5199999999999999,0.7900886741912834,0.8106320431161196,0.7954558991063732,0.7002067539627843,0.7503692762186115,0.7244206773618538,0.8405425219941349,0.871531736982136,0.8252852571849963,0.8787384140940062,0.13732441176034765,0.4320311433238973,0.0929074561543259,False,"[[4586, 870], [676, 2032]]"
C-H2,F3_LATE,future_presentation,42,7613,0.2833311440956259,0.5299999999999999,0.8427022034246537,0.8783659529751741,0.8273983837658745,0.8361551064991808,0.7097821047751507,0.7678034102306921,0.9450146627565983,0.8917329643721895,0.8772090596024286,0.9277396565366528,0.08893945090771148,0.29333729519061297,0.026547398815036965,False,"[[5156, 300], [626, 1531]]"
C-L0,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.5099999999999999,0.667308818264887,0.6769644056413701,0.672196485575861,0.5752414844941536,0.6506612995974698,0.6106314085267135,0.6937316715542522,0.757,0.5710800094912527,0.7259997487348208,0.23063661519939202,0.7340159322878891,0.11557579894692493,False,"[[3785, 1671], [1215, 2263]]"
C-L0,F2_MIDDLE,future_presentation,42,8164,0.3317001469867712,0.5499999999999999,0.70692151034358,0.7175404213620774,0.7369673109327419,0.5515120451050743,0.794682422451994,0.6511346444780636,0.6792521994134897,0.8695448146410136,0.7009504518584533,0.8118609748134127,0.22906567963707403,0.7842041404886568,0.20059338068335042,False,"[[3706, 1750], [556, 2152]]"
C-L0,F3_LATE,future_presentation,42,7613,0.2833311440956259,0.6499999999999999,0.726997649080922,0.7585708656245895,0.7525106656769136,0.5556330659225671,0.7385257301808067,0.634156050955414,0.7664956011730205,0.8811630847029077,0.7550442820555304,0.8604346637218794,0.20264133923848401,0.7758083215364786,0.16518399031245629,False,"[[4182, 1274], [564, 1593]]"
C-L1,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.4799999999999999,0.6499278106329097,0.6581598388179987,0.6563836427211514,0.5518844836025453,0.6483611270845313,0.5962453728186144,0.6644061583577713,0.7477310231023102,0.5339237897886246,0.6962409243101589,0.24332782384110813,0.7261272484107342,0.11107566595938159,False,"[[3625, 1831], [1223, 2255]]"
C-L1,F2_MIDDLE,future_presentation,42,8164,0.3317001469867712,0.5299999999999999,0.7771896041972616,0.7963008329250367,0.7868726635969453,0.6704730831973899,0.7588626292466765,0.711934869218777,0.8148826979472141,0.8719356736615023,0.8160713408081012,0.8715136697176173,0.14656118499833362,0.45061964674064336,0.11543775724072788,False,"[[4446, 1010], [653, 2055]]"
C-L1,F3_LATE,future_presentation,42,7613,0.2833311440956259,0.5449999999999999,0.8396341304492967,0.8682516747668462,0.8436086916769653,0.7575892857142857,0.7867408437644877,0.7718899249488288,0.9004765395894428,0.9143867485576028,0.8831763243470185,0.9303286238489702,0.09724330527252727,0.31487421786820813,0.07907070016125592,False,"[[4913, 543], [460, 1697]]"
C-M0,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.5249999999999999,0.6673092022656348,0.6786433848220282,0.6706524800210456,0.5797215655371684,0.6345600920069006,0.6059025394646534,0.7067448680351907,0.7520967427345426,0.5705477156030666,0.7256354458439221,0.22943940983286884,0.7124819807854994,0.10427874941202661,False,"[[3856, 1600], [1271, 2207]]"
C-M0,F2_MIDDLE,future_presentation,42,8164,0.3317001469867712,0.565,0.7814563280527191,0.800342969132778,0.7910128077121334,0.6763743455497382,0.7632939438700148,0.7172102706453851,0.8187316715542522,0.87451057165231,0.8250161186204426,0.8759675226438879,0.14704937487858058,0.4497601042092533,0.11771929190079852,False,"[[4467, 989], [641, 2067]]"
C-M0,F3_LATE,future_presentation,42,7613,0.2833311440956259,0.5499999999999999,0.8357355262906532,0.8670694864048338,0.8345144007031597,0.7686532144533083,0.7593880389429764,0.7639925373134329,0.9096407624633431,0.9053265231667275,0.87480096883657,0.9236061969010396,0.09761539116279229,0.31646319036578624,0.05442864227720008,False,"[[4963, 493], [519, 1638]]"
C-O0,F1_EARLY,future_presentation,42,8934,0.3892993060219387,0.5,0.3791521890201529,0.6107006939780614,0.5,0.0,0.0,0.0,1.0,0.6107006939780614,0.3892993060219387,0.5,0.2404458148613011,0.6739662276752336,0.051965936040115956,True,"[[5456, 0], [3478, 0]]"
