candidate_id,forecast_id,scope,code_presentation,records,prevalence,threshold,macro_f1,accuracy,balanced_accuracy,at_risk_precision,at_risk_recall,at_risk_f1,specificity,npv,pr_auc,roc_auc,brier,nll,ece,class_collapse,confusion_matrix
C-H2,F1_EARLY,development_oof,2013B,3940,0.4766497461928934,record_specific,0.740376313735908,0.7421319796954314,0.7399053205785712,0.7479861910241657,0.6922257720979765,0.7190265486725663,0.7875848690591658,0.737511353315168,0.8271982880202329,0.8225254077794959,0.17077913137012624,0.511586583928438,0.025383755558071097,False,"[[1624, 438], [578, 1300]]"
C-H2,F1_EARLY,development_oof,2013J,6851,0.39935775799153406,record_specific,0.7443901640347822,0.7594511750109473,0.7405973545650273,0.7218597063621534,0.6469298245614035,0.6823438704703161,0.8342648845686512,0.7804046374175949,0.7693474534963074,0.8131332025893002,0.1673876447007272,0.5085151027565639,0.03098445971975049,False,"[[3433, 682], [966, 1770]]"
C-H2,F1_EARLY,development_oof,2014B,5775,0.46683982683982683,record_specific,0.7372358120446204,0.7385281385281385,0.7371192379120355,0.7217651458489155,0.7158753709198813,0.7188081936685289,0.7583631049041897,0.7529829087391164,0.804335994428511,0.8067802564129747,0.17865541063411108,0.5352901980522372,0.04571390209388938,False,"[[2335, 744], [766, 1930]]"
C-H2,F1_EARLY,future_presentation,2014J,8934,0.3892993060219387,record_specific,0.6682861396134038,0.6708081486456234,0.6850849453371759,0.5574085952533675,0.749568717653824,0.6393623543838136,0.6206011730205279,0.7953958186516326,0.6206408232396947,0.7352140612800359,0.23599007779273026,0.708492198834296,0.15340910826686488,False,"[[3386, 2070], [871, 2607]]"
C-H2,F2_MIDDLE,development_oof,2013B,3621,0.4299917149958575,record_specific,0.8035997261651541,0.8058547362607015,0.8066659758629445,0.7547732696897375,0.8124598587026333,0.782554902567275,0.8008720930232558,0.8498714652956298,0.8888931410205193,0.8940543581624373,0.13337227139096272,0.4084883392010156,0.069624750472418,False,"[[1653, 411], [292, 1265]]"
C-H2,F2_MIDDLE,development_oof,2013J,6399,0.35677449601500233,record_specific,0.8213621323331286,0.8360681356461948,0.8212681449527437,0.7706140350877193,0.7696014016644765,0.7701073854920009,0.8729348882410107,0.8722991017237194,0.876590240171346,0.9020960051625933,0.1159546080301512,0.36926359476560316,0.06250327228766285,False,"[[3593, 523], [526, 1757]]"
C-H2,F2_MIDDLE,development_oof,2014B,5358,0.4251586412840612,record_specific,0.8118773909325376,0.8156028368794326,0.8127484236571154,0.7773000859845228,0.7936786654960492,0.7854039965247611,0.8318181818181818,0.8449868073878628,0.8921128194584214,0.897018916114614,0.12833061747934982,0.40101883622271073,0.06500373574438915,False,"[[2562, 518], [470, 1808]]"
C-H2,F2_MIDDLE,future_presentation,2014J,8164,0.3317001469867712,record_specific,0.7900886741912834,0.8106320431161196,0.7954558991063732,0.7002067539627843,0.7503692762186115,0.7244206773618538,0.8405425219941349,0.871531736982136,0.8252852571849963,0.8787384140940062,0.13732441176034765,0.4320311433238973,0.0929074561543259,False,"[[4586, 870], [676, 2032]]"
C-H2,F3_LATE,development_oof,2013B,3379,0.3891683930156851,record_specific,0.8637114806995384,0.8718555785735425,0.8599216700562973,0.8562197092084006,0.8060836501901141,0.8303956130043086,0.9137596899224806,0.8808967772069126,0.9294411086395723,0.9387268989300558,0.09229495802164206,0.29616995421388753,0.038731309670991323,False,"[[1886, 178], [255, 1060]]"
C-H2,F3_LATE,development_oof,2013J,6122,0.3276706958510291,record_specific,0.875622346003327,0.8915387128389415,0.8718068341137908,0.8483904465212876,0.8145563310069791,0.8311291963377416,0.9290573372206026,0.9113441372735939,0.9259058112660109,0.9468639756144588,0.08154457229107276,0.26754128354871737,0.05251115448109632,False,"[[3824, 292], [372, 1634]]"
C-H2,F3_LATE,development_oof,2014B,5048,0.3898573692551506,record_specific,0.8669943225372295,0.8724247226624405,0.870137789040228,0.8213592233009709,0.8597560975609756,0.8401191658391262,0.8805194805194805,0.9076305220883534,0.9379158393355155,0.9472162555432374,0.09333877153833538,0.3043053219807906,0.0750722828708226,False,"[[2712, 368], [276, 1692]]"
C-H2,F3_LATE,future_presentation,2014J,7613,0.2833311440956259,record_specific,0.8427022034246537,0.8783659529751741,0.8273983837658745,0.8361551064991808,0.7097821047751507,0.7678034102306921,0.9450146627565983,0.8917329643721895,0.8772090596024286,0.9277396565366528,0.08893945090771148,0.29333729519061297,0.026547398815036965,False,"[[5156, 300], [626, 1531]]"
C-L0,F1_EARLY,development_oof,2013B,3940,0.4766497461928934,record_specific,0.7453562147452836,0.7472081218274111,0.7448500117238864,0.7555040556199305,0.6943556975505857,0.7236403995560489,0.7953443258971872,0.7407407407407407,0.8355097212574629,0.8295649043651075,0.1681453588750415,0.5027710456652665,0.035373466113854495,False,"[[1640, 422], [574, 1304]]"
C-L0,F1_EARLY,development_oof,2013J,6851,0.39935775799153406,record_specific,0.7438130834701909,0.7619325645891111,0.738314796458542,0.7409507195813345,0.6209795321637427,0.675681049910519,0.8556500607533414,0.7724879333040807,0.7733801263397588,0.8185512637405583,0.16603242054392095,0.5057428049200161,0.03900428884342599,False,"[[3521, 594], [1037, 1699]]"
C-L0,F1_EARLY,development_oof,2014B,5775,0.46683982683982683,record_specific,0.7370161852786585,0.7400865800865801,0.7361584482032492,0.7433808553971487,0.6769287833827893,0.7086002717918851,0.795388113023709,0.7376506024096385,0.8053394596462075,0.8123540534471576,0.17592109439950676,0.5291234281599172,0.04451507658859487,False,"[[2449, 630], [871, 1825]]"
C-L0,F1_EARLY,future_presentation,2014J,8934,0.3892993060219387,record_specific,0.667308818264887,0.6769644056413701,0.672196485575861,0.5752414844941536,0.6506612995974698,0.6106314085267135,0.6937316715542522,0.757,0.5710800094912527,0.7259997487348208,0.23063661519939202,0.7340159322878891,0.11557579894692493,False,"[[3785, 1671], [1215, 2263]]"
C-L0,F2_MIDDLE,development_oof,2013B,3621,0.4299917149958575,record_specific,0.8245212499311223,0.8307097486882077,0.8205011874355872,0.8410404624277457,0.7475915221579962,0.791567494049643,0.8934108527131783,0.8243182834152883,0.8954699888597907,0.9004760322225708,0.12438366233601911,0.3894501559789836,0.04297354268361438,False,"[[1844, 220], [393, 1164]]"
C-L0,F2_MIDDLE,development_oof,2013J,6399,0.35677449601500233,record_specific,0.8293955399657614,0.847944991404907,0.8208446509822251,0.8265204386839482,0.7262374069207184,0.773140592212637,0.9154518950437318,0.8577282039608468,0.8765269863179815,0.9042079944423799,0.11374118848047748,0.36438158098606055,0.043424070132763386,False,"[[3768, 348], [625, 1658]]"
C-L0,F2_MIDDLE,development_oof,2014B,5358,0.4251586412840612,record_specific,0.8198803207317821,0.8260544979469951,0.8166383989145183,0.8223180076628352,0.753731343283582,0.7865322950068713,0.8795454545454545,0.828440366972477,0.8921538740747135,0.9001120258143963,0.12541437425669305,0.39437689697501693,0.05286582452672869,False,"[[2709, 371], [561, 1717]]"
C-L0,F2_MIDDLE,future_presentation,2014J,8164,0.3317001469867712,record_specific,0.70692151034358,0.7175404213620774,0.7369673109327419,0.5515120451050743,0.794682422451994,0.6511346444780636,0.6792521994134897,0.8695448146410136,0.7009504518584533,0.8118609748134127,0.22906567963707403,0.7842041404886568,0.20059338068335042,False,"[[3706, 1750], [556, 2152]]"
C-L0,F3_LATE,development_oof,2013B,3379,0.3891683930156851,record_specific,0.8659899473152486,0.8762947617638355,0.8569323473929319,0.8979591836734694,0.7695817490494297,0.8288288288288288,0.9442829457364341,0.8654529307282416,0.9289256033227279,0.9371444572169658,0.093115306693721,0.3027734017837221,0.039455679533766094,False,"[[1949, 115], [303, 1012]]"
C-L0,F3_LATE,development_oof,2013J,6122,0.3276706958510291,record_specific,0.8774954680851567,0.8962757268866384,0.8639576896133756,0.8987783595113438,0.7701894317048853,0.8295302013422818,0.9577259475218659,0.8952986600045424,0.9200129439119062,0.9426988713160808,0.08218285170328361,0.27693834389475186,0.042225354704971074,False,"[[3942, 174], [461, 1545]]"
C-L0,F3_LATE,development_oof,2014B,5048,0.3898573692551506,record_specific,0.8819727719302992,0.8904516640253566,0.8738115035371132,0.9096699478865083,0.7982723577235772,0.8503382949932341,0.9493506493506494,0.8804576934658236,0.9371304647141219,0.9444430696336182,0.08792041511841671,0.2911204524744333,0.04781195558907022,False,"[[2924, 156], [397, 1571]]"
