forecast_id,outer_fold,scope,candidate_id,trial_id,state,inner_macro_f1,threshold,config,selected_epochs,refit_epochs
F2_MIDDLE,1,development_oof,C-M0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8217413052473097,0.5249999999999999,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[7, 11]",9.0
F2_MIDDLE,1,development_oof,C-C0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8054052831810458,0.575,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[11, 12]",11.0
F2_MIDDLE,1,development_oof,C-L1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8206294942649832,0.4949999999999999,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[12, 12]",12.0
F2_MIDDLE,1,development_oof,C-H1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8227128620272237,0.5099999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[12, 10]",11.0
F2_MIDDLE,1,development_oof,C-H2,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8183997099610261,0.4799999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}","[4, 10]",7.0
F2_MIDDLE,2,development_oof,C-L0,0,COMPLETE,0.819086238409364,0.575,"{""C"": 0.1}",,
F2_MIDDLE,2,development_oof,C-L0,1,COMPLETE,0.8139084999907222,0.5499999999999999,"{""C"": 1.0}",,
F2_MIDDLE,2,development_oof,C-L0,2,COMPLETE,0.8134096588495179,0.57,"{""C"": 10.0}",,
F2_MIDDLE,2,development_oof,C-R0,0,COMPLETE,0.8160939136642604,0.4549999999999999,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",,
F2_MIDDLE,2,development_oof,C-R0,1,COMPLETE,0.816806933385385,0.4999999999999999,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,
F2_MIDDLE,2,development_oof,C-H0,0,COMPLETE,0.8209261238391505,0.5449999999999999,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",,
F2_MIDDLE,2,development_oof,C-H0,1,COMPLETE,0.8186902712094624,0.5099999999999999,"{""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_leaf_nodes"": 31}",,
F2_MIDDLE,2,development_oof,C-M0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.814964974749012,0.5149999999999999,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden"": 32, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[9, 7]",8.0
F2_MIDDLE,2,development_oof,C-C0,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8039096327434078,0.4999999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[10, 12]",11.0
F2_MIDDLE,2,development_oof,C-L1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8168155256991003,0.5099999999999999,"{""batch_size"": 256, ""dropout"": 0.2, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[11, 11]",11.0
F2_MIDDLE,2,development_oof,C-H1,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8173029605843759,0.4849999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""weight_decay"": 1e-05}","[11, 10]",10.0
F2_MIDDLE,2,development_oof,C-H2,0,COMPLETE_FIXED_PROTOCOL_CONFIG,0.8155256754523124,0.4849999999999999,"{""batch_size"": 256, ""conv_channels"": 32, ""dropout"": 0.2, ""fusion_hidden"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001, ""lstm_hidden"": 32, ""lstm_layers"": 1, ""max_epochs"": 12, ""patience"": 3, ""static_hidden"": 32, ""weight_decay"": 1e-05}","[10, 10]",10.0
F3_LATE,0,development_oof,C-L0,0,COMPLETE,0.8668278141952983,0.6849999999999999,"{""C"": 0.1}",,
