candidate_id,seed,outer_fold,actual,predicted,count
N1,42,2,2,1,0
N1,42,2,2,2,11
N1,42,3,0,0,21
N1,42,3,0,1,0
N1,42,3,0,2,0
N1,42,3,1,0,8
N1,42,3,1,1,23
N1,42,3,1,2,0
N1,42,3,2,0,0
N1,42,3,2,1,2
N1,42,3,2,2,9
N1,42,4,0,0,16
N1,42,4,0,1,4
N1,42,4,0,2,0
N1,42,4,1,0,4
N1,42,4,1,1,20
N1,42,4,1,2,7
N1,42,4,2,0,0
N1,42,4,2,1,0
N1,42,4,2,2,12
N1,123,0,0,0,19
N1,123,0,0,1,2
N1,123,0,0,2,0
N1,123,0,1,0,6
N1,123,0,1,1,25
N1,123,0,1,2,0
N1,123,0,2,0,0
N1,123,0,2,1,1
N1,123,0,2,2,11
N1,123,1,0,0,21
N1,123,1,0,1,0
N1,123,1,0,2,0
N1,123,1,1,0,6
N1,123,1,1,1,22
N1,123,1,1,2,2
N1,123,1,2,0,0
N1,123,1,2,1,2
N1,123,1,2,2,10
N1,123,2,0,0,18
N1,123,2,0,1,3
N1,123,2,0,2,0
N1,123,2,1,0,3
N1,123,2,1,1,25
N1,123,2,1,2,3
N1,123,2,2,0,0
N1,123,2,2,1,0
N1,123,2,2,2,11
N1,123,3,0,0,21
N1,123,3,0,1,0
N1,123,3,0,2,0
N1,123,3,1,0,8
N1,123,3,1,1,23
N1,123,3,1,2,0
N1,123,3,2,0,0
N1,123,3,2,1,2
N1,123,3,2,2,9
N1,123,4,0,0,19
N1,123,4,0,1,1
N1,123,4,0,2,0
N1,123,4,1,0,6
N1,123,4,1,1,20
N1,123,4,1,2,5
N1,123,4,2,0,0
N1,123,4,2,1,0
N1,123,4,2,2,12
N1,155,0,0,0,16
N1,155,0,0,1,5
N1,155,0,0,2,0
N1,155,0,1,0,3
N1,155,0,1,1,28
N1,155,0,1,2,0
N1,155,0,2,0,0
N1,155,0,2,1,0
N1,155,0,2,2,12
N1,155,1,0,0,21
N1,155,1,0,1,0
N1,155,1,0,2,0
N1,155,1,1,0,5
N1,155,1,1,1,20
N1,155,1,1,2,5
N1,155,1,2,0,0
N1,155,1,2,1,2
N1,155,1,2,2,10
N1,155,2,0,0,15
N1,155,2,0,1,6
N1,155,2,0,2,0
N1,155,2,1,0,0
N1,155,2,1,1,28
N1,155,2,1,2,3
N1,155,2,2,0,0
N1,155,2,2,1,0
N1,155,2,2,2,11
N1,155,3,0,0,21
N1,155,3,0,1,0
N1,155,3,0,2,0
N1,155,3,1,0,7
N1,155,3,1,1,23
N1,155,3,1,2,1
N1,155,3,2,0,0
N1,155,3,2,1,1
N1,155,3,2,2,10
N1,155,4,0,0,18
N1,155,4,0,1,2
N1,155,4,0,2,0
N1,155,4,1,0,5
N1,155,4,1,1,21
N1,155,4,1,2,5
N1,155,4,2,0,0
N1,155,4,2,1,0
N1,155,4,2,2,12
N2,42,0,0,0,16
N2,42,0,0,1,5
N2,42,0,0,2,0
N2,42,0,1,0,3
N2,42,0,1,1,28
N2,42,0,1,2,0
N2,42,0,2,0,0
N2,42,0,2,1,0
N2,42,0,2,2,12
N2,42,1,0,0,17
N2,42,1,0,1,4
N2,42,1,0,2,0
N2,42,1,1,0,2
N2,42,1,1,1,24
N2,42,1,1,2,4
N2,42,1,2,0,0
N2,42,1,2,1,2
N2,42,1,2,2,10
N2,42,2,0,0,17
N2,42,2,0,1,4
N2,42,2,0,2,0
N2,42,2,1,0,2
N2,42,2,1,1,26
N2,42,2,1,2,3
N2,42,2,2,0,0
N2,42,2,2,1,1
N2,42,2,2,2,10
N2,42,3,0,0,21
N2,42,3,0,1,0
N2,42,3,0,2,0
N2,42,3,1,0,4
N2,42,3,1,1,27
N2,42,3,1,2,0
N2,42,3,2,0,0
N2,42,3,2,1,4
N2,42,3,2,2,7
N2,42,4,0,0,12
N2,42,4,0,1,8
N2,42,4,0,2,0
N2,42,4,1,0,1
N2,42,4,1,1,25
N2,42,4,1,2,5
N2,42,4,2,0,0
N2,42,4,2,1,0
N2,42,4,2,2,12
N2,123,0,0,0,18
