dataset,model_id,model_family,prediction_stage,class_name,precision,recall,f1,support
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S2_LATE_G1_G2,Medium,0.8724373576309795,0.916267942583732,0.8938156359393232,418
student_por,hist_gradient_boosting_por,hist_gradient_boosting,S2_LATE_G1_G2,High,0.9166666666666666,0.8396946564885496,0.8764940239043825,131
student_por,logistic_regression_por,logistic_regression,S0_EARLY_NO_GRADE,Low,0.38926174496644295,0.58,0.46586345381526106,100
student_por,logistic_regression_por,logistic_regression,S0_EARLY_NO_GRADE,Medium,0.7307692307692307,0.2727272727272727,0.397212543554007,418
student_por,logistic_regression_por,logistic_regression,S0_EARLY_NO_GRADE,High,0.30523255813953487,0.8015267175572519,0.4421052631578947,131
student_por,logistic_regression_por,logistic_regression,S1_MID_G1_ONLY,Low,0.5793103448275863,0.84,0.6857142857142857,100
student_por,logistic_regression_por,logistic_regression,S1_MID_G1_ONLY,Medium,0.9101796407185628,0.7272727272727273,0.8085106382978723,418
student_por,logistic_regression_por,logistic_regression,S1_MID_G1_ONLY,High,0.6882352941176471,0.8931297709923665,0.7774086378737541,131
student_por,logistic_regression_por,logistic_regression,S2_LATE_G1_G2,Low,0.6544117647058824,0.89,0.7542372881355932,100
student_por,logistic_regression_por,logistic_regression,S2_LATE_G1_G2,Medium,0.9554317548746518,0.8205741626794258,0.8828828828828829,418
student_por,logistic_regression_por,logistic_regression,S2_LATE_G1_G2,High,0.8181818181818182,0.9618320610687023,0.8842105263157894,131
student_por,mlp_por,mlp,S0_EARLY_NO_GRADE,Low,0.4444444444444444,0.2,0.27586206896551724,100
student_por,mlp_por,mlp,S0_EARLY_NO_GRADE,Medium,0.6597938144329897,0.9186602870813397,0.768,418
student_por,mlp_por,mlp,S0_EARLY_NO_GRADE,High,0.5454545454545454,0.0916030534351145,0.1568627450980392,131
student_por,mlp_por,mlp,S1_MID_G1_ONLY,Low,0.6896551724137931,0.6,0.6417112299465241,100
