dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,seed_macro_f1_mean,seed_macro_f1_std,low_recall,low_f1,rank_macro_f1,rank_balanced_accuracy,rank_pr_auc,rank_low_recall,rank_low_f1
student_por,bilstm_only_por,bilstm_only,S1_MID_G1_ONLY,0.7580893682588598,0.8164167184094865,0.7112093373715241,0.8164167184094865,0.7407858605854228,0.7646154114946476,0.8434202272977359,0.9305311995429286,0.3345869561498076,0.5217758523834856,0.06064389076319151,77,12,0.741986780953194,0.0056401534679291244,0.88,0.6641509433962264,8,5,2,2,7
student_por,bilstm_only_por,bilstm_only,S2_LATE_G1_G2,0.8366718027734977,0.8839121224295994,0.7870956929780459,0.8839121224295994,0.8191915602554193,0.8420759988900821,0.9079454825457584,0.9605940549320452,0.24253750016302403,0.4008127408019583,0.03563612422808389,62,9,0.8132132443990077,0.011455435452721237,0.91,0.7193675889328063,7,4,7,2,6
student_por,cnn_bilstm_por,cnn_bilstm,S0_EARLY_NO_GRADE,0.5115562403697997,0.5885697067095218,0.5105695524152233,0.5885697067095218,0.5088862277534547,0.5199936734429658,0.49702593981141135,0.7086340026123209,0.6122519923849311,0.9593888658907417,0.14967084479718176,76,25,0.4750515742603156,0.016600797271018937,0.65,0.5327868852459017,2,2,5,2,1
student_por,cnn_bilstm_por,cnn_bilstm,S1_MID_G1_ONLY,0.773497688751926,0.8208970378757442,0.7241925280762809,0.8208970378757442,0.7541803875993889,0.7795354432991002,0.8530893401451235,0.9328329301195546,0.3182628821663117,0.5102187287564417,0.05484132194716567,70,12,0.7539696186580116,0.003978489379643952,0.88,0.6821705426356589,5,3,1,2,3
student_por,cnn_bilstm_por,cnn_bilstm,S2_LATE_G1_G2,0.8705701078582434,0.9006671780074753,0.8223053631158086,0.9006671780074753,0.8519466776181582,0.8745147483228287,0.9282971653010009,0.9669063159508332,0.20571121601431522,0.3592110131521246,0.03131589189907699,49,10,0.8405575165697681,0.007741787278806708,0.9,0.7531380753138075,3,1,1,3,3
student_por,cnn_only_por,cnn_only,S0_EARLY_NO_GRADE,0.5038520801232665,0.5777636144490302,0.49799087936671826,0.5777636144490302,0.4984191775302455,0.5115242277719382,0.49022183947236636,0.7069684202386693,0.6175575114737658,0.9739061849682316,0.16577720919645206,83,28,0.46668689184207646,0.027926421775506468,0.63,0.5060240963855421,4,4,6,3,4
student_por,cnn_only_por,cnn_only,S1_MID_G1_ONLY,0.785824345146379,0.8298125083701621,0.73836199648464,0.8298125083701621,0.7664349388720542,0.7923401508915,0.8430723831055732,0.9311887000703427,0.3169917119939491,0.509678040208342,0.03594306648649886,72,11,0.7620162113618907,0.011474946190888229,0.89,0.6819923371647509,2,1,3,1,4
student_por,cnn_only_por,cnn_only,S2_LATE_G1_G2,0.8505392912172574,0.8986968114248146,0.801946175295515,0.8986968114248146,0.8343143614256091,0.8555744871183529,0.9249146651890269,0.9650329936627381,0.22834902185437644,0.3913776491971235,0.04595147989450784,59,6,0.8265940002932531,0.007441709770410501,0.94,0.7430830039525692,6,2,4,1,4
student_por,decision_tree_por,decision_tree,S0_EARLY_NO_GRADE,0.4899845916795069,0.45793223516807285,0.4282271161320863,0.45793223516807285,0.4311891911668888,0.5093745918678457,0.43685811647790157,0.630438871492551,0.6763344334339647,4.103627253280518,0.22254953370183125,107,44,0.42778550063606735,0.0039920236178463,0.42,0.3146067415730337,9,6,10,6,8
student_por,decision_tree_por,decision_tree,S1_MID_G1_ONLY,0.7426810477657936,0.7757561147838367,0.6908904261359702,0.7757561147838367,0.7198064752379945,0.7481683842257706,0.7089588208637888,0.8516418503996963,0.38773512447335157,3.179068303797295,0.14864710432110975,60,18,0.718903167098748,0.0027531912765344805,0.82,0.6776859504132231,9,6,10,5,5
student_por,decision_tree_por,decision_tree,S2_LATE_G1_G2,0.827426810477658,0.8212519327465088,0.7758201628352491,0.8212519327465088,0.7954347771327063,0.8304365788007292,0.8448710058758649,0.9106753432937765,0.24914676870367686,2.051819578011148,0.09993244949371861,47,27,0.7947474741496777,0.002926961493698308,0.73,0.6636363636363637,10,8,10,6,9
