class_label,precision,recall,threshold
2,0.22388059701492538,1.0,0.000423176
2,0.23076923076923078,1.0,0.0005230766
2,0.23809523809523808,1.0,0.0006523992
2,0.24193548387096775,1.0,0.00075416407
2,0.2459016393442623,1.0,0.0010762064
2,0.25,1.0,0.0011602713
2,0.2542372881355932,1.0,0.0015296051
2,0.2727272727272727,1.0,0.0023062513
2,0.28846153846153844,1.0,0.0023639868
2,0.29411764705882354,1.0,0.0031746703
2,0.30612244897959184,1.0,0.003715756
2,0.3191489361702128,1.0,0.0044709486
2,0.32608695652173914,1.0,0.005908424
2,0.3409090909090909,1.0,0.006484295
2,0.3488372093023256,1.0,0.0066325683
2,0.36585365853658536,1.0,0.008560392
2,0.38461538461538464,1.0,0.010204173
2,0.40540540540540543,1.0,0.012954372
2,0.42857142857142855,1.0,0.015587922
2,0.45454545454545453,1.0,0.017612925
2,0.4838709677419355,1.0,0.018138908
2,0.5172413793103449,1.0,0.028902182
2,0.625,1.0,0.033468377
2,0.6521739130434783,1.0,0.051547784
2,0.7142857142857143,1.0,0.08040155
2,0.75,1.0,0.09704385
2,0.7894736842105263,1.0,0.15307699
2,0.8333333333333334,1.0,0.30420378
2,0.9375,1.0,0.4617727
2,1.0,1.0,0.52345735
2,1.0,0.8666666666666667,0.7218611
2,1.0,0.8,0.80137897
2,1.0,0.5333333333333333,0.82613
2,1.0,0.4666666666666667,0.8947823
2,1.0,0.4,0.96284986
2,1.0,0.26666666666666666,0.98094773
2,1.0,0.06666666666666667,0.9859853
2,1.0,0.0,
