outer_fold,number,state,value,params,fold_f1_macro
1,0,TrialState.COMPLETE,0.16860674691436728,"{'loss': 'focal', 'learning_rate': 0.00011118886459332495, 'weight_decay': 1.1943975426777588e-06, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.8713306271086332, 'resampling_k_neighbors': 3, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.47945111240336713, 'sequence_dropout': 0.4744695738724307, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3, 'focal_gamma': 2.7941971599630686}","[0.25666199158485276, 0.10101010101010101, 0.14814814814814814]"
1,1,TrialState.COMPLETE,0.2517180574935582,"{'loss': 'weighted_ce', 'learning_rate': 5.1560533067133255e-05, 'weight_decay': 2.703855802228461e-05, 'batch_size': 64, 'oversample_method': 'smote', 'class_weight_mode': 'none', 'smote_ratio': 0.4675944869176356, 'resampling_k_neighbors': 7, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.19310111710451439, 'sequence_dropout': 0.2522026215377038, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 5}","[0.16519174041297935, 0.16216216216216217, 0.42780026990553305]"
1,2,TrialState.COMPLETE,0.8367026507635237,"{'loss': 'focal', 'learning_rate': 0.00340943404003287, 'weight_decay': 5.358872886762431e-05, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.44391094597483866, 'resampling_k_neighbors': 4, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.4128673901297919, 'sequence_dropout': 0.10137138928660584, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 5, 'focal_gamma': 2.997396491793374}","[0.8035451138899413, 0.8401002506265663, 0.8664625877740632]"
1,3,TrialState.COMPLETE,0.2252090800477897,"{'loss': 'focal', 'learning_rate': 0.00028659547274061494, 'weight_decay': 1.928788956509227e-07, 'batch_size': 64, 'oversample_method': 'smote', 'class_weight_mode': 'none', 'smote_ratio': 0.4700634224069077, 'resampling_k_neighbors': 4, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.12011698109608612, 'sequence_dropout': 0.20581373465457536, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 5, 'focal_gamma': 2.104528294022807}","[0.2867383512544803, 0.2222222222222222, 0.16666666666666666]"
1,4,TrialState.COMPLETE,0.724773311994945,"{'loss': 'focal', 'learning_rate': 0.007177562495640848, 'weight_decay': 5.819319944508723e-06, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.8342221315959493, 'resampling_k_neighbors': 2, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.12716359495819915, 'sequence_dropout': 0.41310583688038754, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 5, 'focal_gamma': 2.6297037725012355}","[0.9020034843205575, 0.7544593088071349, 0.5178571428571428]"
1,5,TrialState.COMPLETE,0.600528285981715,"{'loss': 'weighted_ce', 'learning_rate': 7.957562659468567e-05, 'weight_decay': 1.5133451549018883e-05, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.894654843635316, 'resampling_k_neighbors': 4, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.3157772596483006, 'sequence_dropout': 0.12956874827699066, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 5}","[0.8372271714418726, 0.4425403225806452, 0.5218173639226271]"
1,6,TrialState.COMPLETE,0.5868045175713641,"{'loss': 'weighted_ce', 'learning_rate': 0.01599056132946297, 'weight_decay': 0.0029198333713333687, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.8116136198680866, 'resampling_k_neighbors': 5, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.45778403574980364, 'sequence_dropout': 0.22515299111392623, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 5}","[0.5369532428355958, 0.6927585554925316, 0.5307017543859649]"
1,7,TrialState.COMPLETE,0.7358438374737614,"{'loss': 'focal', 'learning_rate': 0.0072531863079259165, 'weight_decay': 0.0021808748346775894, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.65460076278293, 'resampling_k_neighbors': 5, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.1780585118941705, 'sequence_dropout': 0.0730840288542854, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 5, 'focal_gamma': 1.40684627164336}","[0.8469397940202351, 0.8353391931485238, 0.5252525252525252]"
1,8,TrialState.COMPLETE,0.8314102950250959,"{'loss': 'weighted_ce', 'learning_rate': 0.002972077059207001, 'weight_decay': 9.358834878991873e-07, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.6856723355565987, 'resampling_k_neighbors': 7, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.10244408787787955, 'sequence_dropout': 0.07637317176670962, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.8626068376068377, 0.7894179894179895, 0.8422060580504603]"
1,9,TrialState.COMPLETE,0.7922393871925792,"{'loss': 'focal', 'learning_rate': 0.003374785924859165, 'weight_decay': 0.00015850660134119582, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.6148285475279871, 'resampling_k_neighbors': 4, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.5373143630051865, 'sequence_dropout': 0.31580378198853265, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3, 'focal_gamma': 1.125191441585829}","[0.827216415021293, 0.7335383176897903, 0.8159634288666546]"
