dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,rows
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0,42,0.810126582278481,0.836996336996337,0.811764705882353,0.836996336996337,0.8145094119606863,0.8280714817572599,0.810126582278481,0.8072735784006732,0.9591603394338346,0.9744280876356348,0.403880063569252,0.23621504518924563,0.17084903768620238,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,3,1201,0.8354430379746836,0.8509671614934774,0.8236933226791239,0.8509671614934774,0.8340428937259924,0.8402755570701754,0.8354430379746836,0.8344387672409602,0.9511893297303823,0.9675996274204396,0.46098611781881466,0.2575974784341923,0.12765156682373086,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,4,1201,0.8607594936708861,0.899460188933873,0.8472906403940886,0.899460188933873,0.8594150459822102,0.883768784685415,0.8607594936708861,0.8594627552685364,0.9773855403170909,0.9856313756591084,0.3511119333709502,0.1981286311117125,0.10773237822496785,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,1,1201,0.8860759493670886,0.9035409035409036,0.9074754901960785,0.9035409035409036,0.9005814190824425,0.8989668652271035,0.8860759493670886,0.8871779165423741,0.9350012604606315,0.9609158661045454,0.4406583149601698,0.23937366080949002,0.1521193677231888,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,2,1201,0.8354430379746836,0.8697705802968961,0.8399205032065072,0.8697705802968961,0.8514671361502347,0.8399160942103915,0.8354430379746836,0.8342373863433767,0.9378443247091234,0.9568256724504454,0.42844796138838326,0.24350290106888053,0.11097418267725369,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0,1201,0.8354430379746836,0.8540903540903542,0.8291666666666666,0.8540903540903542,0.8355188602881657,0.8462816455696203,0.8354430379746836,0.8336601889819933,0.9330676543308067,0.9627456401041307,0.41370715275713565,0.24382755180639712,0.03703080447590769,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,3,2026,0.7848101265822784,0.8508771929824562,0.8013468013468014,0.8508771929824562,0.7871282983366089,0.8481651962664621,0.7848101265822784,0.7723982434518039,0.9132762086660081,0.9324401937635219,0.6244407668540606,0.3875265829501013,0.21572657869684522,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,4,2026,0.8734177215189873,0.8947818263607736,0.855733082706767,0.8947818263607736,0.8688660649444963,0.8847078138383934,0.8734177215189873,0.8733980230629524,0.9708095088460027,0.9796063803893902,0.39480750122627545,0.22547903964099664,0.15653786455225074,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,1,2026,0.8227848101265823,0.8608058608058607,0.8373289545703338,0.8608058608058607,0.8367805007814318,0.8482924902828873,0.8227848101265823,0.820680858013433,0.9035875678793565,0.9479790126016541,0.529284781983844,0.31425836174362054,0.15345686137184159,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,2,2026,0.7468354430379747,0.8124156545209177,0.7486413043478262,0.8124156545209177,0.7533321624416992,0.7812671986791414,0.7468354430379747,0.7367687392683705,0.9084921670231975,0.9350084870778431,0.535887825412798,0.33676613353605445,0.09070833064430042,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0,2026,0.8227848101265823,0.8498168498168498,0.8367998540412334,0.8498168498168498,0.8299900605403452,0.8492167418400506,0.8227848101265823,0.8199625297240171,0.9361209424988756,0.9605173128758034,0.44480898207250674,0.2677011986147259,0.08096521995439894,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,3,3407,0.8354430379746836,0.8859649122807017,0.8382352941176471,0.8859649122807017,0.8391534391534391,0.8750930752047653,0.8354430379746836,0.8297367892304602,0.9585196292975873,0.9732213726346263,0.4040793308293242,0.23271552264988293,0.09442100873479996,79
