dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,threshold,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,tn,fp,fn,tp,rows
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,1.0,7319,0.7529234251225952,0.7360797710686333,0.7499209646353302,0.7360797710686333,0.7399554642816439,0.7516457823620569,0.7529234251225952,0.749418570841257,0.7971698055487471,0.8155019231339871,0.520205927559029,0.17433527965031662,0.01746972177980722,,0.7393364928909952,0.6327174402884183,0.6818844099077221,0.7605054363796651,0.8394421018488485,0.7980265186555658,0.8394421018488485,2588,495,815,1404,5302
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,1.0,42,0.7929144646701899,0.781582600758995,0.7839989864282157,0.781582600758995,0.782713131851063,0.7921734379072205,0.7929144646701899,0.7924721304558103,0.8452757559663965,0.8633389377271781,0.4356265022002768,0.14154438096060104,0.014629487065472459,,0.7445624683864441,0.7269135802469135,0.735632183908046,0.8234355044699873,0.8362516212710766,0.8297940797940798,0.8362516212710766,2579,505,553,1472,5109
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,1.0,1201,0.7929144646701899,0.781582600758995,0.7839989864282157,0.781582600758995,0.782713131851063,0.7921734379072205,0.7929144646701899,0.7924721304558103,0.8452757559663965,0.8633389377271781,0.4356265022002768,0.14154438096060104,0.014629487065472459,,0.7445624683864441,0.7269135802469135,0.735632183908046,0.8234355044699873,0.8362516212710766,0.8297940797940798,0.8362516212710766,2579,505,553,1472,5109
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,1.0,2026,0.7929144646701899,0.781582600758995,0.7839989864282157,0.781582600758995,0.782713131851063,0.7921734379072205,0.7929144646701899,0.7924721304558103,0.8452757559663965,0.8633389377271781,0.4356265022002768,0.14154438096060104,0.014629487065472459,,0.7445624683864441,0.7269135802469135,0.735632183908046,0.8234355044699873,0.8362516212710766,0.8297940797940798,0.8362516212710766,2579,505,553,1472,5109
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,1.0,3407,0.7929144646701899,0.781582600758995,0.7839989864282157,0.781582600758995,0.782713131851063,0.7921734379072205,0.7929144646701899,0.7924721304558103,0.8452757559663965,0.8633389377271781,0.4356265022002768,0.14154438096060104,0.014629487065472459,,0.7445624683864441,0.7269135802469135,0.735632183908046,0.8234355044699873,0.8362516212710766,0.8297940797940798,0.8362516212710766,2579,505,553,1472,5109
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,1.0,7319,0.7929144646701899,0.781582600758995,0.7839989864282157,0.781582600758995,0.782713131851063,0.7921734379072205,0.7929144646701899,0.7924721304558103,0.8452757559663965,0.8633389377271781,0.4356265022002768,0.14154438096060104,0.014629487065472459,,0.7445624683864441,0.7269135802469135,0.735632183908046,0.8234355044699873,0.8362516212710766,0.8297940797940798,0.8362516212710766,2579,505,553,1472,5109
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,1.0,42,0.8276923076923077,0.8216764757640342,0.8136825580434603,0.8216764757640342,0.8171033675490726,0.8308854130253782,0.8276923076923077,0.8287755752261425,0.8918480647263948,0.907482360643106,0.3418189819728121,0.1066896252144338,0.010390027064210118,,0.7488226059654631,0.7989949748743719,0.773095623987034,0.8785425101214575,0.8443579766536965,0.8611111111111112,0.8443579766536965,2604,480,360,1431,4875
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,1.0,1201,0.8276923076923077,0.8216764757640342,0.8136825580434603,0.8216764757640342,0.8171033675490726,0.8308854130253782,0.8276923076923077,0.8287755752261425,0.8918480647263948,0.907482360643106,0.3418189819728121,0.1066896252144338,0.010390027064210118,,0.7488226059654631,0.7989949748743719,0.773095623987034,0.8785425101214575,0.8443579766536965,0.8611111111111112,0.8443579766536965,2604,480,360,1431,4875
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,1.0,2026,0.8276923076923077,0.8216764757640342,0.8136825580434603,0.8216764757640342,0.8171033675490726,0.8308854130253782,0.8276923076923077,0.8287755752261425,0.8918480647263948,0.907482360643106,0.3418189819728121,0.1066896252144338,0.010390027064210118,,0.7488226059654631,0.7989949748743719,0.773095623987034,0.8785425101214575,0.8443579766536965,0.8611111111111112,0.8443579766536965,2604,480,360,1431,4875
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,1.0,3407,0.8276923076923077,0.8216764757640342,0.8136825580434603,0.8216764757640342,0.8171033675490726,0.8308854130253782,0.8276923076923077,0.8287755752261425,0.8918480647263948,0.907482360643106,0.3418189819728121,0.1066896252144338,0.010390027064210118,,0.7488226059654631,0.7989949748743719,0.773095623987034,0.8785425101214575,0.8443579766536965,0.8611111111111112,0.8443579766536965,2604,480,360,1431,4875
